hypothese,anteil_schlecht_tage,gesamtrendite_buy_hold,cagr_buy_hold,max_drawdown_buy_hold,gesamtrendite_strategie,cagr_strategie,max_drawdown_strategie
H1_SMA20,0.3507598784194529,15.766832776430846,0.15449666134279116,-0.5370615106846015,35170.75259298132,0.7047245198812746,-0.06983972392324456
H1_SMA100,0.2642350557244174,15.766832776430846,0.15449666134279116,-0.5370615106846015,253.1093032757537,0.3260177968425575,-0.1277891263943225
H1_SMA200,0.2358662613981763,15.766832776430846,0.15449666134279116,-0.5370615106846015,68.29991806933626,0.24106836865014025,-0.13581426808284092
H2_SMA20,0.34670719351570417,15.766832776430846,0.15449666134279116,-0.5370615106846015,953.3547063740256,0.41851198477396045,-0.09148892995234204
H2_SMA100,0.23546099290780143,15.766832776430846,0.15449666134279116,-0.5370615106846015,52.07390079498862,0.22431285379638877,-0.21738743927652215
H2_SMA200,0.2077001013171226,15.766832776430846,0.15449666134279116,-0.5370615106846015,51.54712770136234,0.2236907239174606,-0.1848698080855099
H3_SMA20_100,0.2348530901722391,15.766832776430846,0.15449666134279116,-0.5370615106846015,8.625452959219682,0.12230488080904744,-0.25985597244874226
H3_SMA20_200,0.2012158054711246,15.766832776430846,0.15449666134279116,-0.5370615106846015,7.355814971542841,0.11424457062363103,-0.3165662102544142
H5_Drawdown,0.25997973657548124,15.766832776430846,0.15449666134279116,-0.5370615106846015,97.01524375011446,0.2631869589767639,-0.09889667534825097
H6_RSI_überverkauft,0.011144883485309016,15.766832776430846,0.15449666134279116,-0.5370615106846015,62.328623472205926,0.23538315875335392,-0.304421958375681
Ampel_Rot,0.12198581560283688,15.766832776430846,0.15449666134279116,-0.5370615106846015,87.45445721596045,0.25659793546779297,-0.18486980808551
