label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,vergleich,horizont_tage,zielgröße
Grün,2797,0.008464748146049677,0.015318102178030868,0.04147222397478296,Gelb,1413,0.009389667045450054,0.019409225910975048,0.0503479049468712,0.5512804660785099,0.0018266257632229437,False,Grün vs. Gelb,30,fwd_return
Grün,2797,-0.039619453336967494,-0.03186747368569376,0.035216197693166446,Gelb,1413,-0.052148194626780726,-0.03961170945961734,0.03924812866937707,1.2726535283850419e-23,4.049931114605911e-29,True,Grün vs. Gelb,30,fwd_mdd
Grün,2767,0.017004774840725108,0.0234170192356693,0.05713633386568373,Gelb,1413,0.023746104033368808,0.03152403064909226,0.061401612025261953,0.0005981007816347416,2.779290570084787e-05,True,Grün vs. Gelb,60,fwd_return
Grün,2767,-0.060672970007664424,-0.04866059559997127,0.05141568497073285,Gelb,1413,-0.07387085842238365,-0.06663773148148144,0.04310905490595192,3.0958454806854805e-18,8.66738803047642e-37,True,Grün vs. Gelb,60,fwd_mdd
Grün,2737,0.028598420913641356,0.03355906890135829,0.06480232901714478,Gelb,1413,0.034903308683030106,0.04024855386567627,0.07292149783241837,0.006199564672995969,0.011853686187117227,True,Grün vs. Gelb,90,fwd_return
Grün,2737,-0.07651177117604838,-0.0605564314476138,0.06171185395458442,Gelb,1413,-0.08718027739342757,-0.07617783742638518,0.04395112648843869,1.4998250166804442e-10,6.460367956430169e-36,True,Grün vs. Gelb,90,fwd_mdd
Gelb,1413,0.009389667045450054,0.019409225910975048,0.0503479049468712,Rot,698,0.019502951439262957,0.03301325391358456,0.08809149239255888,0.004988593171187065,9.993895896521522e-09,True,Gelb vs. Rot,30,fwd_return
Gelb,1413,-0.052148194626780726,-0.03961170945961734,0.03924812866937707,Rot,698,-0.08095997376393044,-0.05625950245057776,0.06350100444721737,1.4059457508815977e-26,5.958870844273487e-28,True,Gelb vs. Rot,30,fwd_mdd
Gelb,1413,0.023746104033368808,0.03152403064909226,0.061401612025261953,Rot,698,0.02710080052330333,0.060172203188345375,0.1217422077544369,0.4927826332168601,3.1835590883663433e-07,False,Gelb vs. Rot,60,fwd_return
Gelb,1413,-0.07387085842238365,-0.06663773148148144,0.04310905490595192,Rot,698,-0.117642373956569,-0.08864901255492541,0.08415094888881766,3.8196468006005365e-35,3.491513501819231e-33,True,Gelb vs. Rot,60,fwd_mdd
Gelb,1413,0.034903308683030106,0.04024855386567627,0.07292149783241837,Rot,698,0.026631957494567687,0.06956372156934176,0.15346145482273424,0.17716482127771407,0.0035890433951574047,False,Gelb vs. Rot,90,fwd_return
Gelb,1413,-0.08718027739342757,-0.07617783742638518,0.04395112648843869,Rot,698,-0.14537542363861777,-0.0930966585367477,0.09925348997428278,3.8906129377384655e-44,1.0654524431556143e-36,True,Gelb vs. Rot,90,fwd_mdd
Grün,2797,0.008464748146049677,0.015318102178030868,0.04147222397478296,Rot,698,0.019502951439262957,0.03301325391358456,0.08809149239255888,0.0013235497383194156,2.7289027311118247e-13,True,Grün vs. Rot,30,fwd_return
Grün,2797,-0.039619453336967494,-0.03186747368569376,0.035216197693166446,Rot,698,-0.08095997376393044,-0.05625950245057776,0.06350100444721737,2.5069177138044247e-53,1.2123335151586609e-91,True,Grün vs. Rot,30,fwd_mdd
Grün,2767,0.017004774840725108,0.0234170192356693,0.05713633386568373,Rot,698,0.02710080052330333,0.060172203188345375,0.1217422077544369,0.03327674076994088,8.342837391929086e-15,True,Grün vs. Rot,60,fwd_return
Grün,2767,-0.060672970007664424,-0.04866059559997127,0.05141568497073285,Rot,698,-0.117642373956569,-0.08864901255492541,0.08415094888881766,2.090221810757764e-56,9.668581277798561e-99,True,Grün vs. Rot,60,fwd_mdd
Grün,2737,0.028598420913641356,0.03355906890135829,0.06480232901714478,Rot,698,0.026631957494567687,0.06956372156934176,0.15346145482273424,0.740660928241254,1.0601771633962834e-06,False,Grün vs. Rot,90,fwd_return
Grün,2737,-0.07651177117604838,-0.0605564314476138,0.06171185395458442,Rot,698,-0.14537542363861777,-0.0930966585367477,0.09925348997428278,1.2501796545680888e-58,4.629568680602093e-89,True,Grün vs. Rot,90,fwd_mdd
