label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,horizont_tage,zielgröße
Nahe am Hoch (bis -5%),2840,0.013282431082232331,0.019831039158072827,0.05235017798309027,Spürbare Korrektur (>= -10%),1282,0.026041097704290427,0.038039096231477165,0.09151058976667893,3.41761588275867e-06,4.574072276276071e-16,True,30,fwd_return
Nahe am Hoch (bis -5%),2840,-0.05234860028928161,-0.041011332279766166,0.03851028252945221,Spürbare Korrektur (>= -10%),1282,-0.08239744614237969,-0.06752791578298623,0.06074856288749194,1.0398265062951978e-55,2.4201871368966053e-68,True,30,fwd_mdd
Nahe am Hoch (bis -5%),2814,0.02992207565683202,0.038109794730110114,0.06805568618095875,Spürbare Korrektur (>= -10%),1282,0.04994960014127679,0.07095932005324346,0.13423479624492546,4.819766780060419e-07,3.099335110241244e-25,True,60,fwd_return
Nahe am Hoch (bis -5%),2814,-0.07881065345888853,-0.07079650115395397,0.05156506390787072,Spürbare Korrektur (>= -10%),1282,-0.11459540843965424,-0.08572498359713165,0.0837024165510596,5.110840043275366e-43,2.50841689829082e-47,True,60,fwd_mdd
Nahe am Hoch (bis -5%),2784,0.04729845962964249,0.058081391876208754,0.07891075920007032,Spürbare Korrektur (>= -10%),1282,0.07304309735509532,0.10367091441656306,0.16964667979484127,2.490787096470703e-07,2.0283057979929436e-28,True,90,fwd_return
Nahe am Hoch (bis -5%),2784,-0.09926055008384459,-0.08164530968499062,0.059338684486230066,Spürbare Korrektur (>= -10%),1282,-0.13542258726676507,-0.10428151209412584,0.09851279360443849,9.928423597303444e-33,2.3514037666824917e-26,True,90,fwd_mdd
