label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,zeitbasis,sma_kurz,sma_lang,n_golden_events,n_death_events,horizont_tage,zielgröße
Golden Cross SMA20/100 (d),21,0.01940599621552761,0.023369475914694293,0.06452472175993129,Death Cross SMA20/100 (d),21,0.03152670410045547,0.04649264962860222,0.06750628772409291,0.5553384490706286,0.89990710207531,False,d,20,100,21,21,30,fwd_return
Golden Cross SMA20/100 (d),21,-0.055048646037593775,-0.04629709118484493,0.044500038973579584,Death Cross SMA20/100 (d),21,-0.06829639593687094,-0.06877824345869754,0.03856232641273725,0.30886252850797025,0.1280131033504663,False,d,20,100,21,21,30,fwd_mdd
Golden Cross SMA20/100 (d),21,0.03173698521815256,0.03177495314227974,0.08717666109474395,Death Cross SMA20/100 (d),21,0.060820319419725655,0.0877110531743377,0.13019939197021355,0.4007974641314139,0.39238776291674793,False,d,20,100,21,21,60,fwd_return
Golden Cross SMA20/100 (d),21,-0.07980435306843783,-0.06648203531790253,0.04829705266084883,Death Cross SMA20/100 (d),21,-0.10141035711605004,-0.09379188042874453,0.0677881937617387,0.24197650565543746,0.2628985271299473,False,d,20,100,21,21,60,fwd_mdd
Golden Cross SMA20/100 (d),20,0.06765432966170776,0.07920185781283273,0.11506437110999496,Death Cross SMA20/100 (d),21,0.08601435047830075,0.08320602230846319,0.16128892667734832,0.6761543728244913,0.6860131458138926,False,d,20,100,21,21,90,fwd_return
Golden Cross SMA20/100 (d),20,-0.09182241690432792,-0.07829014018187214,0.05454194308711841,Death Cross SMA20/100 (d),21,-0.1145649073934244,-0.09379188042874453,0.09267578251936129,0.34262765598908246,0.5312460735975517,False,d,20,100,21,21,90,fwd_mdd
Golden Cross SMA20/200 (d),17,0.018218424063874743,0.024367018368241844,0.11311492477687722,Death Cross SMA20/200 (d),17,0.04016129401720201,0.03805955860429311,0.11873696165795586,0.585002547369208,0.8632664146869172,False,d,20,200,17,17,30,fwd_return
Golden Cross SMA20/200 (d),17,-0.06363576378656453,-0.04596469139895287,0.07674304604627859,Death Cross SMA20/200 (d),17,-0.0776409004077668,-0.0657586220418871,0.06941067832013226,0.5807344137488586,0.3095523317700041,False,d,20,200,17,17,30,fwd_mdd
Golden Cross SMA20/200 (d),17,0.041135182782313186,0.061122591482836386,0.14942028433225382,Death Cross SMA20/200 (d),17,0.07712015017903907,0.09967512007616586,0.17378054707509136,0.5221079365240562,0.5128366746384507,False,d,20,200,17,17,60,fwd_return
Golden Cross SMA20/200 (d),17,-0.09136917542472879,-0.07020639974183074,0.10029727474375758,Death Cross SMA20/200 (d),17,-0.10906517535712082,-0.07714197008325474,0.09238750419116114,0.59633282250396,0.3013129764782323,False,d,20,200,17,17,60,fwd_mdd
Golden Cross SMA20/200 (d),16,0.08417810077494059,0.10871090848673837,0.17705756636278153,Death Cross SMA20/200 (d),17,0.09106799840453401,0.10984365327167156,0.2133712310692392,0.9200725670859714,0.8712282197431191,False,d,20,200,17,17,90,fwd_return
Golden Cross SMA20/200 (d),16,-0.10801957435475122,-0.07422598848815609,0.10445677998011467,Death Cross SMA20/200 (d),17,-0.13462607822737946,-0.09499158476479241,0.11825279904814938,0.497866150279824,0.4492597215677381,False,d,20,200,17,17,90,fwd_mdd
