label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,horizont_tage,zielgröße
Nahe am Hoch (bis -5%),1781,0.0006664443326673393,0.0070874477072762065,0.05953204955336104,Spürbare Korrektur (>= -10%),2257,0.01835035328469302,0.024992250698189444,0.08623377532841917,1.8079795512242878e-14,6.381524767888628e-21,True,30,fwd_return
Nahe am Hoch (bis -5%),1781,-0.057718533295220545,-0.047333869897985714,0.04528451484121871,Spürbare Korrektur (>= -10%),2257,-0.08259263733060325,-0.06691146348917087,0.06151327944937058,3.024210446227862e-48,3.1671516865095298e-53,True,30,fwd_mdd
Nahe am Hoch (bis -5%),1751,0.004775600354863423,0.019254777339742013,0.08641100398061248,Spürbare Korrektur (>= -10%),2257,0.03852213629046553,0.048681601990635315,0.11468925524062074,5.172690103993558e-26,4.239534323631975e-34,True,60,fwd_return
Nahe am Hoch (bis -5%),1751,-0.0863687830958927,-0.07335429222727785,0.06633729879561807,Spürbare Korrektur (>= -10%),2257,-0.11576208774597246,-0.09652627562672567,0.07766858011223755,2.2908010005136634e-37,7.603229524503718e-67,True,60,fwd_mdd
Nahe am Hoch (bis -5%),1721,0.0110494034968925,0.027686083399509398,0.09526204597493841,Spürbare Korrektur (>= -10%),2257,0.05541810286686494,0.060310476555806014,0.1425785456926975,2.6113108792645467e-31,4.739939310877637e-35,True,90,fwd_return
Nahe am Hoch (bis -5%),1721,-0.10711366936141543,-0.09049495891685388,0.07461955108381517,Spürbare Korrektur (>= -10%),2257,-0.13678540550919624,-0.1035204505248909,0.08844667186210661,6.083103787184179e-30,1.5586680432512206e-52,True,90,fwd_mdd
