label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,vergleich,horizont_tage,zielgröße
Grün,2134,0.005597346837348,0.012870400473950938,0.062367948047700024,Gelb,1503,0.010641851210163866,0.016490951525799158,0.07298361264281478,0.029521640763203103,0.01462341594212029,True,Grün vs. Gelb,30,fwd_return
Grün,2134,-0.0575399877448969,-0.04737272337346565,0.046388777710100804,Gelb,1503,-0.06928581530818562,-0.05869583981648929,0.04717626796617661,1.2409355641812798e-13,4.473865785551709e-23,True,Grün vs. Gelb,30,fwd_mdd
Grün,2104,0.008278407297168472,0.022378271205697686,0.08855839159298239,Gelb,1503,0.02666888689840053,0.030043261089303774,0.10753334133243736,5.725654235992361e-08,2.729020366345548e-06,True,Grün vs. Gelb,60,fwd_return
Grün,2104,-0.08871201802219969,-0.06778635736638106,0.06944194346505506,Gelb,1503,-0.09877461992979208,-0.0854722570507519,0.06415794884565422,7.484135853885462e-06,2.364989492138681e-24,True,Grün vs. Gelb,60,fwd_mdd
Grün,2074,0.013216544250575803,0.030549873576296904,0.10189115394408128,Gelb,1503,0.044669447367157056,0.0438016276898725,0.12864473500912674,5.4940404356873514e-15,3.023227122612868e-09,True,Grün vs. Gelb,90,fwd_return
Grün,2074,-0.11444204047086819,-0.09091377838907144,0.0848185621853597,Gelb,1503,-0.11683530366134989,-0.09863124304667892,0.06907822826781716,0.35320432372876814,8.808527441007767e-15,False,Grün vs. Gelb,90,fwd_mdd
Gelb,1503,0.010641851210163866,0.016490951525799158,0.07298361264281478,Rot,1271,0.020724755432497657,0.02559034018488382,0.09359705072323804,0.0018233804985879768,0.00013207051241878056,True,Gelb vs. Rot,30,fwd_return
Gelb,1503,-0.06928581530818562,-0.05869583981648929,0.04717626796617661,Rot,1271,-0.09124647899438422,-0.0733291641656898,0.06739385913556833,4.267613239116127e-22,1.1053088659712458e-16,True,Gelb vs. Rot,30,fwd_mdd
Gelb,1503,0.02666888689840053,0.030043261089303774,0.10753334133243736,Rot,1271,0.038533994471080475,0.04624718142463302,0.11657036614618133,0.005693743005018069,0.0003936142281969403,True,Gelb vs. Rot,60,fwd_return
Gelb,1503,-0.09877461992979208,-0.0854722570507519,0.06415794884565422,Rot,1271,-0.12744988299771154,-0.1078432775587791,0.08006465160338015,2.742352448849092e-24,3.854683334432608e-25,True,Gelb vs. Rot,60,fwd_mdd
Gelb,1503,0.044669447367157056,0.0438016276898725,0.12864473500912674,Rot,1271,0.048353130028800664,0.04964895814738779,0.15188317417790664,0.49520498103269966,0.01746081429162906,False,Gelb vs. Rot,90,fwd_return
Gelb,1503,-0.11683530366134989,-0.09863124304667892,0.06907822826781716,Rot,1271,-0.1517911622103902,-0.129691833977165,0.09387676434595531,1.9433454154296463e-27,3.0587149716115937e-23,True,Gelb vs. Rot,90,fwd_mdd
Grün,2134,0.005597346837348,0.012870400473950938,0.062367948047700024,Rot,1271,0.020724755432497657,0.02559034018488382,0.09359705072323804,3.283766059026729e-07,9.687923065394641e-11,True,Grün vs. Rot,30,fwd_return
Grün,2134,-0.0575399877448969,-0.04737272337346565,0.046388777710100804,Rot,1271,-0.09124647899438422,-0.0733291641656898,0.06739385913556833,9.537127307091165e-53,1.9150306722582407e-64,True,Grün vs. Rot,30,fwd_mdd
Grün,2104,0.008278407297168472,0.022378271205697686,0.08855839159298239,Rot,1271,0.038533994471080475,0.04624718142463302,0.11657036614618133,2.5927063308843467e-15,5.2484403664041685e-18,True,Grün vs. Rot,60,fwd_return
Grün,2104,-0.08871201802219969,-0.06778635736638106,0.06944194346505506,Rot,1271,-0.12744988299771154,-0.1078432775587791,0.08006465160338015,1.3815129264944868e-44,2.3469394510324994e-82,True,Grün vs. Rot,60,fwd_mdd
Grün,2074,0.013216544250575803,0.030549873576296904,0.10189115394408128,Rot,1271,0.048353130028800664,0.04964895814738779,0.15188317417790664,4.096159209662965e-13,4.664426211562821e-16,True,Grün vs. Rot,90,fwd_return
Grün,2074,-0.11444204047086819,-0.09091377838907144,0.0848185621853597,Rot,1271,-0.1517911622103902,-0.129691833977165,0.09387676434595531,3.0755451016166236e-30,1.8506521282069818e-57,True,Grün vs. Rot,90,fwd_mdd
