Horizont,Trefferq. Signal,Trefferq. Baseline,Rend. Signal,Rend. Baseline,MaxDD Signal,MaxDD Baseline
5T,0.42138364779874216,0.13133781307269396,0.00781505323747178,0.0017524109605963575,-0.028504193827754334,-0.0154574653417531
10T,0.44654088050314467,0.16045611891671757,0.006635573596562497,0.0034650707359655314,-0.04533483139288793,-0.025201234088050344
15T,0.4591194968553459,0.18509468540012217,0.010756114663589538,0.0052028401033661275,-0.05396129548855403,-0.032519365237616914
30T,0.5094339622641509,0.24760741193239666,0.024728902945567604,0.010242767731905545,-0.06988578051974435,-0.04915851304029198
