Horizont,Rend. Baseline,Rend. >18,Rend. >27,MaxDD Baseline,MaxDD >18,MaxDD >27
5T,0.0017524109605963575,0.0031821375676721842,0.004869905094939216,-0.0154574653417531,-0.02275070170749873,-0.03620584506328283
10T,0.0034650707359655314,0.005552653157666371,0.006810742477714872,-0.025201234088050344,-0.03588508582420485,-0.056392324163515875
15T,0.0052028401033661275,0.008236852805101646,0.010389127233469306,-0.032519365237616914,-0.04497784537440826,-0.06930203532462022
30T,0.010242767731905545,0.017632163098079037,0.02615353110362658,-0.04915851304029198,-0.0629177124367993,-0.08954345245181682
