Horizont,Rend. Signal,Rend. Baseline,MaxDD Signal,MaxDD Baseline
5T,0.003418368936645425,0.003278319613845069,-0.0367085733747066,-0.019687068010275557
10T,0.004520227118195414,0.006483709643163893,-0.05562420784130055,-0.03192128432440223
15T,0.007882487123233901,0.009718711440901476,-0.06845483638767118,-0.04095118065017558
30T,0.017385030439293174,0.019488372609561894,-0.09728331489656118,-0.06093728514456455
