phase_id,ampel,start,ende,dauer_tage
148,gelb,2015-01-13,2015-01-16,4
149,grün,2015-01-20,2015-01-27,6
150,gelb,2015-01-28,2015-01-28,1
151,grün,2015-01-29,2015-01-29,1
152,gelb,2015-01-30,2015-01-30,1
153,grün,2015-02-02,2015-08-20,140
154,gelb,2015-08-21,2015-08-21,1
155,rot,2015-08-24,2015-08-26,3
156,gelb,2015-08-27,2015-08-31,3
157,rot,2015-09-01,2015-09-01,1
158,gelb,2015-09-02,2015-10-02,22
159,grün,2015-10-05,2015-11-12,29
160,gelb,2015-11-13,2015-11-13,1
161,grün,2015-11-16,2015-12-10,18
162,gelb,2015-12-11,2015-12-15,3
163,grün,2015-12-16,2015-12-17,2
164,gelb,2015-12-18,2015-12-18,1
165,grün,2015-12-21,2015-12-31,8
166,gelb,2016-01-04,2016-01-04,1
167,grün,2016-01-05,2016-01-05,1
168,gelb,2016-01-06,2016-01-29,17
169,grün,2016-02-01,2016-02-01,1
170,gelb,2016-02-02,2016-02-19,13
171,grün,2016-02-22,2016-02-22,1
172,gelb,2016-02-23,2016-02-24,2
173,grün,2016-02-25,2016-02-26,2
174,gelb,2016-02-29,2016-02-29,1
175,grün,2016-03-01,2016-06-10,72
176,gelb,2016-06-13,2016-06-15,3
177,grün,2016-06-16,2016-06-21,4
178,gelb,2016-06-22,2016-06-22,1
179,grün,2016-06-23,2016-06-23,1
180,gelb,2016-06-24,2016-06-27,2
181,grün,2016-06-28,2016-11-02,90
182,gelb,2016-11-03,2016-11-04,2
183,grün,2016-11-07,2018-02-02,312
184,rot,2018-02-05,2018-02-05,1
185,gelb,2018-02-06,2018-02-07,2
186,rot,2018-02-08,2018-02-08,1
187,gelb,2018-02-09,2018-02-13,3
188,grün,2018-02-14,2018-02-16,3
189,gelb,2018-02-20,2018-02-21,2
190,grün,2018-02-22,2018-02-28,5
191,gelb,2018-03-01,2018-03-01,1
192,grün,2018-03-02,2018-03-21,14
193,gelb,2018-03-22,2018-03-28,5
194,grün,2018-03-29,2018-03-29,1
195,gelb,2018-04-02,2018-04-04,3
196,grün,2018-04-05,2018-04-05,1
197,gelb,2018-04-06,2018-04-11,4
198,grün,2018-04-12,2018-10-09,126
199,gelb,2018-10-10,2018-10-15,4
200,grün,2018-10-16,2018-10-17,2
201,gelb,2018-10-18,2018-10-18,1
202,grün,2018-10-19,2018-10-22,2
203,gelb,2018-10-23,2018-10-31,7
204,grün,2018-11-01,2018-11-09,7
205,gelb,2018-11-12,2018-11-14,3
206,grün,2018-11-15,2018-11-16,2
207,gelb,2018-11-19,2018-11-23,4
208,grün,2018-11-26,2018-12-03,6
209,gelb,2018-12-04,2018-12-20,12
210,rot,2018-12-21,2018-12-26,3
211,gelb,2018-12-27,2019-01-08,8
212,grün,2019-01-09,2019-01-18,8
213,gelb,2019-01-22,2019-01-22,1
214,grün,2019-01-23,2019-05-10,76
215,gelb,2019-05-13,2019-05-13,1
216,grün,2019-05-14,2019-08-02,57
217,gelb,2019-08-05,2019-08-06,2
218,grün,2019-08-07,2019-08-09,3
219,gelb,2019-08-12,2019-08-12,1
220,grün,2019-08-13,2019-08-13,1
221,gelb,2019-08-14,2019-08-15,2
222,grün,2019-08-16,2019-08-26,7
223,gelb,2019-08-27,2019-08-27,1
224,grün,2019-08-28,2019-10-01,24
225,gelb,2019-10-02,2019-10-02,1
226,grün,2019-10-03,2019-10-07,3
227,gelb,2019-10-08,2019-10-08,1
228,grün,2019-10-09,2020-02-21,93
229,gelb,2020-02-24,2020-02-26,3
230,rot,2020-02-27,2020-05-07,50
231,gelb,2020-05-08,2020-05-11,2
232,rot,2020-05-12,2020-05-15,4
233,gelb,2020-05-18,2020-05-18,1
234,rot,2020-05-19,2020-05-19,1
235,gelb,2020-05-20,2020-06-10,15
236,rot,2020-06-11,2020-06-30,14
237,gelb,2020-07-01,2020-07-10,7
238,rot,2020-07-13,2020-07-13,1
239,gelb,2020-07-14,2020-09-02,37
240,rot,2020-09-03,2020-09-08,3
241,gelb,2020-09-09,2020-10-23,33
242,rot,2020-10-26,2020-11-03,7
243,gelb,2020-11-04,2021-01-26,56
