Fenster,Schwelle,Horizont,Signale,Trefferquote,Trefferq_Baseline,Fwd_Rendite,Rendite_Baseline,Fwd_MaxDD,MaxDD_Baseline,belastbar
10,0.15,10,578,0.12802768166089964,0.16045611891671757,0.0025877701273471607,0.0034650707359655314,-0.023908972036673255,-0.025201234088050344,True
10,0.15,15,578,0.15570934256055363,0.18509468540012217,0.0038441136149967563,0.0052028401033661275,-0.03151433271159394,-0.032519365237616914,True
10,0.15,30,578,0.22664359861591696,0.24760741193239666,0.009563975737968687,0.010242767731905545,-0.04573499135888073,-0.04915851304029198,True
10,0.2,10,135,0.11851851851851852,0.16045611891671757,-0.0030421083644653745,0.0034650707359655314,-0.024954564111839255,-0.025201234088050344,True
10,0.2,15,135,0.18518518518518517,0.18509468540012217,-0.004687285720746468,0.0052028401033661275,-0.03398676693430208,-0.032519365237616914,True
10,0.2,30,135,0.24444444444444444,0.24760741193239666,0.006441845340679738,0.010242767731905545,-0.04532750012030529,-0.04915851304029198,True
10,0.25,10,135,0.11851851851851852,0.16045611891671757,-0.0030421083644653745,0.0034650707359655314,-0.024954564111839255,-0.025201234088050344,True
10,0.25,15,135,0.18518518518518517,0.18509468540012217,-0.004687285720746468,0.0052028401033661275,-0.03398676693430208,-0.032519365237616914,True
10,0.25,30,135,0.24444444444444444,0.24760741193239666,0.006441845340679738,0.010242767731905545,-0.04532750012030529,-0.04915851304029198,True
15,0.15,10,350,0.11428571428571428,0.16045611891671757,-0.0016105619164732796,0.0034650707359655314,-0.024716243070342526,-0.025201234088050344,True
15,0.15,15,350,0.14285714285714285,0.18509468540012217,-0.0016279831301254561,0.0052028401033661275,-0.03205713782647471,-0.032519365237616914,True
15,0.15,30,350,0.20285714285714285,0.24760741193239666,0.004214428663579665,0.010242767731905545,-0.04485773924163053,-0.04915851304029198,True
15,0.2,10,97,0.2268041237113402,0.16045611891671757,-0.009223739747543376,0.0034650707359655314,-0.031167106573403835,-0.025201234088050344,True
15,0.2,15,97,0.29896907216494845,0.18509468540012217,-0.009267309910982843,0.0052028401033661275,-0.04124239118536285,-0.032519365237616914,True
15,0.2,30,97,0.35051546391752575,0.24760741193239666,0.0017862752377380627,0.010242767731905545,-0.048797768567913055,-0.04915851304029198,True
15,0.25,10,97,0.2268041237113402,0.16045611891671757,-0.009223739747543376,0.0034650707359655314,-0.031167106573403835,-0.025201234088050344,True
15,0.25,15,97,0.29896907216494845,0.18509468540012217,-0.009267309910982843,0.0052028401033661275,-0.04124239118536285,-0.032519365237616914,True
15,0.25,30,97,0.35051546391752575,0.24760741193239666,0.0017862752377380627,0.010242767731905545,-0.048797768567913055,-0.04915851304029198,True
30,0.15,10,244,0.18032786885245902,0.16045611891671757,0.0007969791521271602,0.0034650707359655314,-0.023565478561223905,-0.025201234088050344,True
30,0.15,15,244,0.22131147540983606,0.18509468540012217,-0.000679563923007634,0.0052028401033661275,-0.031580477108980064,-0.032519365237616914,True
30,0.15,30,244,0.30327868852459017,0.24760741193239666,0.004019109359479659,0.010242767731905545,-0.05012597917712281,-0.04915851304029198,True
30,0.2,10,52,0.36538461538461536,0.16045611891671757,-0.01694884700562768,0.0034650707359655314,-0.04371036843992474,-0.025201234088050344,True
30,0.2,15,52,0.46153846153846156,0.18509468540012217,-0.017604823376567776,0.0052028401033661275,-0.055756712038184636,-0.032519365237616914,True
30,0.2,30,52,0.5576923076923077,0.24760741193239666,-0.022714376198704218,0.010242767731905545,-0.06960140603486063,-0.04915851304029198,True
30,0.25,10,12,0.6666666666666666,0.16045611891671757,-0.03421821424077979,0.0034650707359655314,-0.07128725512476781,-0.025201234088050344,False
30,0.25,15,12,0.9166666666666666,0.18509468540012217,-0.030932335490940766,0.0052028401033661275,-0.08076053660011419,-0.032519365237616914,False
30,0.25,30,12,0.9166666666666666,0.24760741193239666,-0.038657818741183236,0.010242767731905545,-0.08966157047434238,-0.04915851304029198,False
