Horizont,Trefferq. Signal,Trefferq. Baseline,Rend. Signal,Rend. Baseline,MaxDD Signal,MaxDD Baseline
5T,0.39215686274509803,0.12322659100121605,0.0071185766575372145,0.0020373860324517223,-0.030074947066795286,-0.01637902633736148
10T,0.41830065359477125,0.15180381029590595,0.005616983753167075,0.004023575767075181,-0.04827094657472226,-0.026625913789882886
15T,0.43790849673202614,0.1777462505066883,0.009754226113707217,0.006012833192617831,-0.057952770164037,-0.03425077374039035
30T,0.47058823529411764,0.24584515605999188,0.023071797362074146,0.011886395710880715,-0.07348621627202649,-0.05125369737830861
