name,anteil_tage,trefferquote,änderung_5,änderung_10,median_max_anstieg,n_ereignisse
3-Monats-Hoch,0.03236970684039088,0.44654088050314467,-1.8840879524278942,-2.2310690909811535,2.020000457763672,159
Divergenz (Block 6),0.017915309446254073,0.3068181818181818,0.7435226548801769,1.1978408856825395,2.5950002670288086,88
Rot-Regime,0.09588762214983713,0.7931034482758621,-2.6360344886779785,-3.4531033614586137,1.2999992370605469,58
