Horizont,Rend. Baseline,Rend. VIX>20,Rend. VIX>30,MaxDD Baseline,MaxDD VIX>20,MaxDD VIX>30
5T,0.0020373860324517223,0.0032600800182980283,0.004514856829029108,-0.01637902633736148,-0.025202561323084967,-0.04061419951406754
10T,0.004023575767075181,0.006103223657314209,0.006287737336806981,-0.026625913789882886,-0.039372336922774934,-0.06217787261767135
15T,0.006012833192617831,0.009182623040536173,0.011449155532288634,-0.03425077374039035,-0.04915683030497757,-0.07530083809028812
30T,0.011886395710880715,0.020719077326391677,0.02513386808645694,-0.05125369737830861,-0.06812668526620275,-0.09903434631080416
