Horizont,Rend. Signal,Rend. Baseline,MaxDD Signal,MaxDD Baseline
5T,0.003349190747546821,0.0017524109605963575,-0.02348814745521182,-0.0154574653417531
10T,0.005793157002873986,0.0034650707359655314,-0.03705215350633591,-0.025201234088050344
15T,0.008075489087727592,0.0052028401033661275,-0.04730601065215883,-0.032519365237616914
30T,0.0194599719198085,0.010242767731905545,-0.06551155333711677,-0.04915851304029198
