risikophase,anteil_risikotage,gesamtrendite_buy_hold,cagr_buy_hold,max_drawdown_buy_hold,gesamtrendite_strategie,cagr_strategie,max_drawdown_strategie
Rot (RVX >= 34),0.09065222510007064,3.9524442237854363,0.09918763189050228,-0.43061325684645646,1.333770994859278,0.05137217004331007,-0.45776813646898196
Gelb+Rot (RVX >= 24),0.37320461502236874,3.9524442237854363,0.09918763189050228,-0.43061325684645646,0.13025937932445886,0.007264293160979651,-0.3494589365232913
3-Monats-Hoch (+10 Tage),0.147869084059336,3.9524442237854363,0.09918763189050228,-0.43061325684645646,2.488673351585999,0.07665724810231755,-0.3968874615850907
Divergenz Block 6 (+10 Tage),0.07770190722863198,3.9524442237854363,0.09918763189050228,-0.43061325684645646,3.2804944218409346,0.08975421632759395,-0.4415598957528113
Kombiniert (Rot oder Block 6),0.16694137037909113,3.9524442237854363,0.09918763189050228,-0.43061325684645646,1.0405101878567113,0.04305960165226197,-0.4393269705987275
