Horizont,Rend. Baseline,Rend. >24,Rend. >34,MaxDD Baseline,MaxDD >24,MaxDD >34
5T,0.0023441252136622796,0.005289102616972045,0.010819342552977942,-0.020903432519747578,-0.027235677909509277,-0.03944962927424104
10T,0.004641788789445202,0.01005626224700134,0.019446846717510454,-0.033675656051441814,-0.04278247450029672,-0.059101912710333715
15T,0.006995544638719231,0.015146491099009195,0.02877636532338038,-0.04319250794880688,-0.05321958163825333,-0.069553966467942
30T,0.01382489933463234,0.03180485143697368,0.05202224552612492,-0.06429086591191584,-0.07329657198583786,-0.0900373274733679
