Horizont,Trefferq. Signal,Trefferq. Baseline,Rend. Signal,Rend. Baseline,MaxDD Signal,MaxDD Baseline
5T,0.37222222222222223,0.13133360356708554,0.008930754547849846,0.003278319613845069,-0.032601058557524445,-0.019687068010275557
10T,0.4222222222222222,0.15930279691933522,0.00847679192522551,0.006483709643163893,-0.051802233918509404,-0.03192128432440223
15T,0.43333333333333335,0.18139440616132954,0.014199390861372407,0.009718711440901476,-0.06319839370723775,-0.04095118065017558
30T,0.4444444444444444,0.23956222132144306,0.031520738159683294,0.019488372609561894,-0.07979598533930964,-0.06093728514456455
