Horizont,Rend. Signal,Rend. Baseline,MaxDD Signal,MaxDD Baseline
5T,0.007043972951721597,0.0023441252136622796,-0.03676467564910562,-0.020903432519747578
10T,0.006949043066639504,0.004641788789445202,-0.05494087755089943,-0.033675656051441814
15T,0.017743030102442693,0.006995544638719231,-0.06545281022145845,-0.04319250794880688
30T,0.03785587468521104,0.01382489933463234,-0.08538646504725729,-0.06429086591191584
