label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,sma_fenster,muster,horizont_tage,zielgröße,n_events
B9 SMA20 Breadth Thrust,410,0.013116033283577994,0.012451100504387299,0.06196341452873639,Basisrate (alle Tage),3188,0.011918448621683463,0.01559546596441955,0.07039181084137199,0.7171724714372744,0.888836048658097,False,20,B9 SMA20 Breadth Thrust,30,fwd_return,410
B9 SMA20 Breadth Thrust,410,-0.05949386847690941,-0.051197300305836,0.03612686322060634,Basisrate (alle Tage),3188,-0.06415601687735042,-0.0519058677908441,0.0474562311331604,0.01839835476932626,0.20718603517296874,False,20,B9 SMA20 Breadth Thrust,30,fwd_mdd,410
B9 SMA20 Breadth Thrust,406,0.029713502648181084,0.02719088657369155,0.08961279395637843,Basisrate (alle Tage),3158,0.023011772119796704,0.02508993727966355,0.09596568808328855,0.16008699667348542,0.4224924736115252,False,20,B9 SMA20 Breadth Thrust,60,fwd_return,410
B9 SMA20 Breadth Thrust,406,-0.08550266570757828,-0.0758693199959723,0.04817516821082864,Basisrate (alle Tage),3158,-0.0944387051704199,-0.0817103547668511,0.06218032107029554,0.000740249112107211,0.03601918317810286,True,20,B9 SMA20 Breadth Thrust,60,fwd_mdd,410
B9 SMA20 Breadth Thrust,399,0.03330929308609224,0.0265376776493744,0.11179355555869872,Basisrate (alle Tage),3128,0.033223852478852345,0.0319037260334612,0.11525303703575016,0.9885754431917316,0.37922251785782424,False,20,B9 SMA20 Breadth Thrust,90,fwd_return,410
B9 SMA20 Breadth Thrust,399,-0.10620531611268111,-0.0909137783890714,0.05374617452837427,Basisrate (alle Tage),3128,-0.11648451339962362,-0.0912143870951704,0.07203965746950773,0.0006092912216730643,0.10673765763034918,False,20,B9 SMA20 Breadth Thrust,90,fwd_mdd,410
B9 SMA20 Breadth Collapse,337,0.018205517330211515,0.0276410519751697,0.07455880283982715,Basisrate (alle Tage),3188,0.011918448621683463,0.01559546596441955,0.07039181084137199,0.13970250238441873,0.0023702014792780788,False,20,B9 SMA20 Breadth Collapse,30,fwd_return,339
B9 SMA20 Breadth Collapse,337,-0.06341146666441029,-0.0469633005650531,0.04984574915799019,Basisrate (alle Tage),3188,-0.06415601687735042,-0.0519058677908441,0.0474562311331604,0.7934968530042988,0.17240944414237203,False,20,B9 SMA20 Breadth Collapse,30,fwd_mdd,339
B9 SMA20 Breadth Collapse,334,0.02424526108135676,0.037709691032978554,0.09680579973077723,Basisrate (alle Tage),3158,0.023011772119796704,0.02508993727966355,0.09596568808328855,0.8247108557978079,0.24873626641035196,False,20,B9 SMA20 Breadth Collapse,60,fwd_return,339
B9 SMA20 Breadth Collapse,334,-0.09511916771788265,-0.0811697282914598,0.06661488141157987,Basisrate (alle Tage),3158,-0.0944387051704199,-0.0817103547668511,0.06218032107029554,0.8583159856397081,0.7624987642852065,False,20,B9 SMA20 Breadth Collapse,60,fwd_mdd,339
B9 SMA20 Breadth Collapse,334,0.035067056285765126,0.0361877358382468,0.09700559997302032,Basisrate (alle Tage),3128,0.033223852478852345,0.0319037260334612,0.11525303703575016,0.7463071982583308,0.6451359974209617,False,20,B9 SMA20 Breadth Collapse,90,fwd_return,339
B9 SMA20 Breadth Collapse,334,-0.11672420131379593,-0.0925646088758235,0.06799585112034615,Basisrate (alle Tage),3128,-0.11648451339962362,-0.0912143870951704,0.07203965746950773,0.9514860321945356,0.534666276683514,False,20,B9 SMA20 Breadth Collapse,90,fwd_mdd,339
B9 SMA50 Breadth Thrust,131,0.03510726267291906,0.0327844875180043,0.04917473652178889,Basisrate (alle Tage),3188,0.011918448621683463,0.01559546596441955,0.07039181084137199,6.801793626407084e-07,0.0002363841220689471,True,50,B9 SMA50 Breadth Thrust,30,fwd_return,131
B9 SMA50 Breadth Thrust,131,-0.05160710853185453,-0.0483931696071027,0.028153818680364588,Basisrate (alle Tage),3188,-0.06415601687735042,-0.0519058677908441,0.0474562311331604,3.174621565575738e-06,0.004806214594648926,True,50,B9 SMA50 Breadth Thrust,30,fwd_mdd,131
B9 SMA50 Breadth Thrust,131,0.06701983819830051,0.0581710883004327,0.08440198542608905,Basisrate (alle Tage),3158,0.023011772119796704,0.02508993727966355,0.09596568808328855,3.7656918697204444e-08,2.75553423613804e-07,True,50,B9 SMA50 Breadth Thrust,60,fwd_return,131
B9 SMA50 Breadth Thrust,131,-0.0686224746878194,-0.0570399357153864,0.034377492707889305,Basisrate (alle Tage),3158,-0.0944387051704199,-0.0817103547668511,0.06218032107029554,1.332424054045093e-13,2.833850510988941e-08,True,50,B9 SMA50 Breadth Thrust,60,fwd_mdd,131
B9 SMA50 Breadth Thrust,126,0.08005465049261912,0.06681323471184195,0.10368827790774308,Basisrate (alle Tage),3128,0.033223852478852345,0.0319037260334612,0.11525303703575016,2.1511982268555354e-06,5.5440889477191376e-06,True,50,B9 SMA50 Breadth Thrust,90,fwd_return,131
B9 SMA50 Breadth Thrust,126,-0.08759921564227235,-0.0835190132771683,0.033418811402734526,Basisrate (alle Tage),3128,-0.11648451339962362,-0.0912143870951704,0.07203965746950773,6.518608091026104e-16,5.580850651564453e-06,True,50,B9 SMA50 Breadth Thrust,90,fwd_mdd,131
B9 SMA50 Breadth Collapse,98,0.025903825480157204,0.032410325765956996,0.0808163836080127,Basisrate (alle Tage),3188,0.011918448621683463,0.01559546596441955,0.07039181084137199,0.09342750666452117,0.0025142948517310718,False,50,B9 SMA50 Breadth Collapse,30,fwd_return,98
B9 SMA50 Breadth Collapse,98,-0.05761429526584425,-0.04003154471841815,0.05825102860402189,Basisrate (alle Tage),3188,-0.06415601687735042,-0.0519058677908441,0.0474562311331604,0.27370220096958775,0.005083206436839545,False,50,B9 SMA50 Breadth Collapse,30,fwd_mdd,98
