hypothese,anteil_schlecht_tage,gesamtrendite_buy_hold,cagr_buy_hold,max_drawdown_buy_hold,gesamtrendite_strategie,cagr_strategie,max_drawdown_strategie
B1_SMA20,0.47638284648850215,1.6885627410924915,0.08036886959913248,-0.4306132568464569,0.42365122271428124,0.027993335023932753,-0.3016343173368006
B1_SMA50,0.45618396519577376,1.6885627410924915,0.08036886959913248,-0.4306132568464569,-0.1481134787075289,-0.012451318772188746,-0.41890646994062974
B1_SMA200,0.4291485394655065,1.6885627410924915,0.08036886959913248,-0.4306132568464569,0.2751020042521988,0.019176918427454837,-0.2308095722147776
B2_SMA20,0.5034182722187694,1.6885627410924915,0.08036886959913248,-0.4306132568464569,-0.3626899411407919,-0.03459908059322159,-0.49612169426908914
B2_SMA50,0.5018645121193288,1.6885627410924915,0.08036886959913248,-0.4306132568464569,-0.37777883133152845,-0.036405400512500075,-0.4954461431435977
B2_SMA200,0.4897451833436917,1.6885627410924915,0.08036886959913248,-0.4306132568464569,-0.2776811800866935,-0.025104643804764848,-0.37160081473504014
B3_SMA20_Q1,0.1252330640149161,1.6885627410924915,0.08036886959913248,-0.4306132568464569,0.7754071493283639,0.045888945503430145,-0.37470602285751486
B3_SMA50_Q1,0.10752019888129273,1.6885627410924915,0.08036886959913248,-0.4306132568464569,1.6155809585958774,0.07804743697433425,-0.4241281060389137
B3_SMA200_Q1,0.06836544437538844,1.6885627410924915,0.08036886959913248,-0.4306132568464569,1.2615583540667146,0.06586240603344273,-0.39401187535172866
Ampel_Rot,0.17464263517712866,1.6885627410924915,0.08036886959913248,-0.4306132568464569,0.23456214847693646,0.016606344355434954,-0.4456562732192657
