label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,vergleich,horizont_tage,zielgröße
Grün,1378,0.014403038817573518,0.0224043352122984,0.05491468763394549,Gelb,3026,0.021875731446197207,0.02824016538317515,0.06423879776774001,7.509303319070188e-05,3.402609016251765e-05,True,Grün vs. Gelb,30,fwd_return
Grün,1378,-0.05248640473177904,-0.040142218407865,0.039968936791831756,Gelb,3026,-0.058268405256667814,-0.045624608746621,0.043997229048547665,1.6803432537907704e-05,1.2870495238901637e-06,True,Grün vs. Gelb,30,fwd_mdd
Grün,1369,0.03265447049334595,0.0418768657570076,0.06997043066574361,Gelb,3005,0.04228180647652122,0.0506884763568344,0.09169300701847459,0.00013957985748886827,1.2517046778535065e-06,True,Grün vs. Gelb,60,fwd_return
Grün,1369,-0.07827965903469257,-0.0697236401208454,0.0523062520733907,Gelb,3005,-0.08499855037399043,-0.0710749053656234,0.0607695656213042,0.00018742720542815893,0.0005977050654027037,True,Grün vs. Gelb,60,fwd_mdd
Grün,1364,0.05124900970391438,0.06379566415770485,0.0836987113142139,Gelb,2982,0.06220378060837129,0.0727685607666399,0.10848804711143593,0.00028226778883275286,5.325357546158169e-06,True,Grün vs. Gelb,90,fwd_return
Grün,1364,-0.09954024734075684,-0.0816453096849906,0.060704299604292265,Gelb,2982,-0.10440264695024022,-0.0823284075368304,0.06996817184640686,0.019706564754052327,0.1158890192348968,False,Grün vs. Gelb,90,fwd_mdd
Gelb,3026,0.021875731446197207,0.02824016538317515,0.06423879776774001,Rot,479,0.02231659906580944,0.0234790290783832,0.1033125701667192,0.9277951143231236,0.7994011488144975,False,Gelb vs. Rot,30,fwd_return
Gelb,3026,-0.058268405256667814,-0.045624608746621,0.043997229048547665,Rot,479,-0.09643911656472755,-0.0840407749072557,0.061251111554462334,1.9166459818435626e-34,3.1336860829273624e-51,True,Gelb vs. Rot,30,fwd_mdd
Gelb,3005,0.04228180647652122,0.0506884763568344,0.09169300701847459,Rot,479,0.04456734839449023,0.0608622267472698,0.1450338469123414,0.738202126346657,0.1726731337749554,False,Gelb vs. Rot,60,fwd_return
Gelb,3005,-0.08499855037399043,-0.0710749053656234,0.0607695656213042,Rot,479,-0.1321734986595619,-0.1131508296843011,0.08287492583469677,1.6172969803008264e-29,3.9580383365219615e-44,True,Gelb vs. Rot,60,fwd_mdd
Gelb,2982,0.06220378060837129,0.0727685607666399,0.10848804711143593,Rot,477,0.06462377341231132,0.0902363084628454,0.18786559266000813,0.7840994773017179,0.04567544835825821,False,Gelb vs. Rot,90,fwd_return
Gelb,2982,-0.10440264695024022,-0.0823284075368304,0.06996817184640686,Rot,477,-0.15700548895992786,-0.1250930921883818,0.09964249869678796,5.481558475210958e-26,6.599384612413434e-35,True,Gelb vs. Rot,90,fwd_mdd
Grün,1378,0.014403038817573518,0.0224043352122984,0.05491468763394549,Rot,479,0.02231659906580944,0.0234790290783832,0.1033125701667192,0.1102105823541617,0.044455874490117724,False,Grün vs. Rot,30,fwd_return
Grün,1378,-0.05248640473177904,-0.040142218407865,0.039968936791831756,Rot,479,-0.09643911656472755,-0.0840407749072557,0.061251111554462334,4.962815634292875e-42,2.7515313508996097e-59,True,Grün vs. Rot,30,fwd_mdd
Grün,1369,0.03265447049334595,0.0418768657570076,0.06997043066574361,Rot,479,0.04456734839449023,0.0608622267472698,0.1450338469123414,0.08441991125847557,0.0006928319451019951,False,Grün vs. Rot,60,fwd_return
Grün,1369,-0.07827965903469257,-0.0697236401208454,0.0523062520733907,Rot,479,-0.1321734986595619,-0.1131508296843011,0.08287492583469677,8.114563445795738e-36,1.2778108125074686e-47,True,Grün vs. Rot,60,fwd_mdd
Grün,1364,0.05124900970391438,0.06379566415770485,0.0836987113142139,Rot,477,0.06462377341231132,0.0902363084628454,0.18786559266000813,0.13327167715913948,0.00014446592723406506,False,Grün vs. Rot,90,fwd_return
Grün,1364,-0.09954024734075684,-0.0816453096849906,0.060704299604292265,Rot,477,-0.15700548895992786,-0.1250930921883818,0.09964249869678796,2.8426680644377015e-29,8.599535919457755e-34,True,Grün vs. Rot,90,fwd_mdd
