kw_pvalue,kw_signifikant_5pct,mean_Q1 (0-25%),n_Q1 (0-25%),mean_Q2 (25-50%),n_Q2 (25-50%),mean_Q3 (50-75%),n_Q3 (50-75%),mean_Q4 (75-100%),n_Q4 (75-100%),q1_vs_q4_t_pvalue,q1_vs_q4_u_pvalue,q1_vs_q4_signifikant_5pct,sma_fenster,horizont_tage,zielgröße
8.916350885441715e-12,True,0.0286040535538261,403,0.012673404468202105,1123,0.004518473834577695,1263,0.016364699130005957,399,0.021763719318897395,0.002911667229060607,True,20,30,fwd_return
0.00039392670967231056,True,-0.07662115983082463,403,-0.0651828130252385,1123,-0.060743268672241515,1263,-0.05947871436788703,399,1.7922550825152682e-06,0.0002515209112065247,True,20,30,fwd_mdd
3.5038581970230476e-15,True,0.05751668494471942,403,0.020271939729242353,1113,0.008055528842703443,1243,0.04239664423927055,399,0.028254630039973923,0.04502463955758917,True,20,60,fwd_return
1.678825980437999e-09,True,-0.10378623235576981,403,-0.09819586036261575,1113,-0.09360119740792597,1243,-0.07712606097034459,399,5.2937913524933814e-12,2.1027072256753037e-09,True,20,60,fwd_mdd
1.298006620407889e-23,True,0.08249379179348684,403,0.03334119817524592,1107,0.011390291070477962,1230,0.050928989856674815,388,0.0001481184991808367,0.00032414478772537116,True,20,90,fwd_return
0.0036171010636571192,True,-0.11819469166787831,403,-0.11784196158677905,1107,-0.12057052723595743,1230,-0.09788220926565898,388,5.60796119660813e-07,0.0085892951404998,True,20,90,fwd_mdd
5.27426383366927e-12,True,0.03701714095053687,346,0.010677584031267786,1122,0.0061764651522234265,1463,0.016232162008777428,257,0.001128114684998284,0.002436946338650323,True,50,30,fwd_return
6.907943541583105e-18,True,-0.08698462657941529,346,-0.06800679268485393,1122,-0.05701743884835487,1463,-0.057247340781969545,257,5.996640124706059e-13,1.4459003426030134e-12,True,50,30,fwd_mdd
5.917301556490012e-32,True,0.08229073735999083,346,0.01693179565015456,1122,0.0095884012041741,1433,0.04459504895994653,257,1.0178418133738276e-06,1.5902744288613665e-07,True,50,60,fwd_return
7.426252486546667e-18,True,-0.10944149394563188,346,-0.10118202357359042,1122,-0.08970175768709814,1433,-0.07121332610045655,257,1.1928212533927507e-19,4.957549474403784e-16,True,50,60,fwd_mdd
4.12732015334214e-30,True,0.10059506552907901,344,0.02829652861411055,1114,0.01668704362553179,1415,0.055627483943530724,255,6.610075611513505e-07,4.4756082982110546e-06,True,50,90,fwd_return
0.00031017205413957054,True,-0.12303567284761635,344,-0.12027822103010753,1114,-0.11629579397322289,1415,-0.09212078335212741,255,5.763307199268026e-14,0.00015814456932770885,True,50,90,fwd_mdd
7.432112006859404e-45,True,0.08350294378002218,220,0.0072279761964763895,1161,0.003404273045865155,1581,0.025891727985398707,226,1.9662003057744007e-16,7.42207930828047e-16,True,200,30,fwd_return
1.8958306453830762e-20,True,-0.0781829323416134,220,-0.07197877353238429,1161,-0.05753230092302426,1581,-0.05665138433379944,226,9.322936387340955e-09,8.110130542365006e-06,True,200,30,fwd_mdd
2.6746429800345755e-51,True,0.11978365811844877,220,0.026582774420037814,1161,0.003983620731062933,1551,0.04105121554299444,226,7.849921735500971e-19,1.5058487930979594e-19,True,200,60,fwd_return
1.9537430398701095e-22,True,-0.10274756235873224,220,-0.10190663275205665,1161,-0.09083156476346171,1551,-0.0727416355575136,226,3.615182833191842e-15,4.599625790269153e-12,True,200,60,fwd_mdd
9.05804449652207e-47,True,0.14599310551732905,220,0.04235184911024408,1153,0.008853359575067513,1529,0.041757781086938534,226,1.753448726584321e-22,1.403842308017852e-21,True,200,90,fwd_return
4.296230434181352e-10,True,-0.11365040473333467,220,-0.11979358440002791,1153,-0.11914176977618901,1529,-0.08438362863568095,226,2.352488107440838e-14,7.544318815794434e-07,True,200,90,fwd_mdd
