label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,sma_fenster,horizont_tage,zielgröße,n_bestätigt,n_nicht_bestätigt
"20-Tage-Hoch, Breite bestätigt",704,0.007855775603654337,0.01350240776834275,0.043325671257313875,"20-Tage-Hoch, Breite nicht bestätigt",279,0.008230983739772213,0.0167435151734263,0.03764570842748124,0.8928053039377059,0.8649613728038852,False,20,30,fwd_return,706,281
"20-Tage-Hoch, Breite bestätigt",704,-0.04038020698228742,-0.0318674736856937,0.03319644377262248,"20-Tage-Hoch, Breite nicht bestätigt",279,-0.03942016329674894,-0.0313090020809199,0.02889680689838415,0.6531180229103765,0.7234574469418689,False,20,30,fwd_mdd,706,281
"20-Tage-Hoch, Breite bestätigt",697,0.016072376906717502,0.0229809380703975,0.06379472049935704,"20-Tage-Hoch, Breite nicht bestätigt",274,0.016128254924528945,0.024294300180499,0.058995998709571944,0.9896511349217748,0.9209114037040951,False,20,60,fwd_return,706,281
"20-Tage-Hoch, Breite bestätigt",697,-0.06302703840305555,-0.0500058003737239,0.04989788609086548,"20-Tage-Hoch, Breite nicht bestätigt",274,-0.06380016248231887,-0.0518613182588462,0.05511636359564565,0.8400627879876095,0.8841593839028483,False,20,60,fwd_mdd,706,281
"20-Tage-Hoch, Breite bestätigt",691,0.025857685855063144,0.0295613623987507,0.07298217502566104,"20-Tage-Hoch, Breite nicht bestätigt",272,0.01582694569986129,0.028749811539328853,0.07827841064777886,0.0687614652121871,0.3033472308821573,False,20,90,fwd_return,706,281
"20-Tage-Hoch, Breite bestätigt",691,-0.08070736237511422,-0.0675029116380938,0.06019800896378076,"20-Tage-Hoch, Breite nicht bestätigt",272,-0.08766590524343673,-0.0683251249566758,0.07226291975870468,0.16001034998619193,0.27552996840081856,False,20,90,fwd_mdd,706,281
"50-Tage-Hoch, Breite bestätigt",516,0.007095178411359396,0.012321173361872599,0.035197806135605,"50-Tage-Hoch, Breite nicht bestätigt",204,0.0022745691755297554,0.01358235493956,0.045534694813365376,0.17485213863909346,0.5252851703836757,False,50,30,fwd_return,518,206
"50-Tage-Hoch, Breite bestätigt",516,-0.03809972448177672,-0.0313090020809199,0.029526081037554008,"50-Tage-Hoch, Breite nicht bestätigt",204,-0.04226781975718415,-0.0318674736856937,0.036710015233335926,0.14885655346661217,0.33468162655637645,False,50,30,fwd_mdd,518,206
"50-Tage-Hoch, Breite bestätigt",508,0.015394602069782591,0.01956758209372275,0.06056459177159834,"50-Tage-Hoch, Breite nicht bestätigt",200,0.012316185389725004,0.021999154701297048,0.060151009682452065,0.5409929897932519,0.8330356225059309,False,50,60,fwd_return,518,206
"50-Tage-Hoch, Breite bestätigt",508,-0.05930194928112255,-0.0495534481071028,0.04912671726690479,"50-Tage-Hoch, Breite nicht bestätigt",200,-0.06685398592482676,-0.0520572361804458,0.05793743038931788,0.10464253367820418,0.01972634904987842,False,50,60,fwd_mdd,518,206
"50-Tage-Hoch, Breite bestätigt",507,0.01960643319709425,0.0264834087581287,0.07789182936847328,"50-Tage-Hoch, Breite nicht bestätigt",200,0.02099682736669851,0.023845571123814947,0.06083296367152611,0.8012418490014126,0.7222242429810004,False,50,90,fwd_return,518,206
"50-Tage-Hoch, Breite bestätigt",507,-0.08155810854139214,-0.0672753168874269,0.06779078882198403,"50-Tage-Hoch, Breite nicht bestätigt",200,-0.08230627369874588,-0.0672753168874269,0.06442045132768699,0.891086761454791,0.31818018979310103,False,50,90,fwd_mdd,518,206
"200-Tage-Hoch, Breite bestätigt",306,0.008823958294937312,0.01269692655980175,0.03166387656260968,"200-Tage-Hoch, Breite nicht bestätigt",197,-0.0014638590848245804,0.0035185576682486,0.04732875465263866,0.007575574355475517,0.0466561942663424,True,200,30,fwd_return,307,200
"200-Tage-Hoch, Breite bestätigt",306,-0.034126787275150415,-0.0267371814426607,0.024168596546884868,"200-Tage-Hoch, Breite nicht bestätigt",197,-0.044479685570135125,-0.0349489869372873,0.0423550662303628,0.0020023179353552472,0.004391171539049743,True,200,30,fwd_mdd,307,200
"200-Tage-Hoch, Breite bestätigt",301,0.010436786149536031,0.0185501281918982,0.06425303501694153,"200-Tage-Hoch, Breite nicht bestätigt",192,0.008653527621122268,0.01037504090063295,0.05999701522388029,0.7544501357813321,0.39444951893913915,False,200,60,fwd_return,307,200
"200-Tage-Hoch, Breite bestätigt",301,-0.06053000177904477,-0.0487464943435899,0.05892658375100335,"200-Tage-Hoch, Breite nicht bestätigt",192,-0.06678084588380667,-0.0520572361804458,0.05655668507030013,0.23978700311311574,0.001932400555166108,False,200,60,fwd_mdd,307,200
"200-Tage-Hoch, Breite bestätigt",301,0.013098153267779277,0.0283671281062489,0.08131562804327112,"200-Tage-Hoch, Breite nicht bestätigt",192,0.014675063750248527,0.014449234523480299,0.060212271139373365,0.805228499183914,0.1390988263780226,False,200,90,fwd_return,307,200
"200-Tage-Hoch, Breite bestätigt",301,-0.087809553886467,-0.0605564314476138,0.08377405710458484,"200-Tage-Hoch, Breite nicht bestätigt",192,-0.0789060393007196,-0.06715029257913335,0.05707640962666244,0.16130761500662957,0.1816935281009786,False,200,90,fwd_mdd,307,200
