kw_pvalue,kw_signifikant_5pct,mean_Q1 (0-25%),n_Q1 (0-25%),mean_Q2 (25-50%),n_Q2 (25-50%),mean_Q3 (50-75%),n_Q3 (50-75%),mean_Q4 (75-100%),n_Q4 (75-100%),q1_vs_q4_t_pvalue,q1_vs_q4_u_pvalue,q1_vs_q4_signifikant_5pct,sma_fenster,horizont_tage,zielgröße
7.953094292502256e-26,True,0.02668870657476126,691,0.011257777395733566,1104,0.0030442528325153703,1618,0.009341277516861594,1372,1.9680997238483157e-11,2.0693634017920635e-15,True,20,30,fwd_return
8.95217730664801e-11,True,-0.05472229258776597,691,-0.05094150440941838,1104,-0.046632506131854046,1618,-0.042319727778999054,1372,2.1247055867273887e-09,3.073709302522821e-11,True,20,30,fwd_mdd
1.955590578763397e-21,True,0.04253709153761724,691,0.021505810272489836,1093,0.012083210498481916,1599,0.016064859460025754,1372,2.6443962296215255e-14,3.649870914696818e-15,True,20,60,fwd_return
3.086262000869422e-08,True,-0.07763673421000113,691,-0.07488650049331923,1093,-0.07042285861719078,1599,-0.06651092136552239,1372,1.0592953785307639e-05,1.3922997958120335e-08,True,20,60,fwd_mdd
7.787316080995836e-19,True,0.04913145899286684,686,0.03437851695719614,1086,0.018837212940608805,1584,0.02925801456948235,1369,5.581186470196837e-06,3.774707601311668e-11,True,20,90,fwd_return
0.042656895905039224,True,-0.09408110673802976,686,-0.08825043549913683,1086,-0.0895294269308074,1584,-0.08215492737525805,1369,8.697230544621503e-05,0.003243674631297623,True,20,90,fwd_mdd
5.192304286316045e-43,True,0.03929542883270164,504,0.010362908373618817,1134,0.0034258023022376793,1779,0.008012704533002684,1368,2.819012155213692e-25,5.500915602318764e-37,True,50,30,fwd_return
4.917794117448541e-14,True,-0.05450486069190618,504,-0.054477256582573526,1134,-0.046382517513198246,1779,-0.040792711309160776,1368,4.188182592272885e-08,4.515711717496371e-09,True,50,30,fwd_mdd
3.767367007831007e-36,True,0.0532772253919375,504,0.01875303694818772,1122,0.016135564173451723,1761,0.013124023452997962,1368,1.8026086368448262e-20,7.644862870089501e-34,True,50,60,fwd_return
3.691087332313442e-12,True,-0.07932973092154678,504,-0.08029553897556202,1122,-0.06711234407917305,1761,-0.06659243156595726,1368,4.716143280759711e-05,0.0007154156350543428,True,50,60,fwd_mdd
6.670143798076256e-20,True,0.058031567298379265,495,0.02864051408142429,1109,0.023280208844128004,1753,0.028971824192553862,1368,9.35520874431196e-08,1.9255841153672094e-17,True,50,90,fwd_return
5.920465208179712e-07,True,-0.09850926694231657,495,-0.09515503896068557,1109,-0.0847296061615488,1753,-0.08175752563189777,1368,1.7243082997026136e-05,0.051360790704470694,False,50,90,fwd_mdd
1.0803324735118934e-18,True,0.027411086906263364,334,0.00661092915265951,816,0.011970376155041368,1922,0.006453842462896808,1713,1.810799237333417e-05,5.293998479551273e-14,True,200,30,fwd_return
6.597646891868981e-81,True,-0.07426233783514287,334,-0.06538928089717407,816,-0.042241236912316606,1922,-0.03982349975818239,1713,2.8140615550080477e-21,1.9975052833752027e-35,True,200,30,fwd_mdd
9.216189717734671e-15,True,0.023502299035595926,334,0.020956904658474506,815,0.022827251253153547,1893,0.015247746555626034,1713,0.24640091186106317,1.0027996182824558e-10,False,200,60,fwd_return
2.0833257588199444e-90,True,-0.12229303553288501,334,-0.09076362189798093,815,-0.06275415568417674,1893,-0.06173101050537586,1713,5.517876798288642e-28,8.414701887915814e-49,True,200,60,fwd_mdd
7.586330549915594e-07,True,0.02873737780748098,334,0.031388584874347,804,0.032520831697882085,1874,0.026358944833428304,1713,0.7834387746699157,0.017564573252882843,False,200,90,fwd_return
3.352027666368003e-75,True,-0.14962141012744196,334,-0.10525203898336175,804,-0.08114207580715839,1874,-0.07472730859408927,1713,7.434625518161872e-33,2.8907417277946753e-53,True,200,90,fwd_mdd
