hypothese,anteil_schlecht_tage,gesamtrendite_buy_hold,cagr_buy_hold,max_drawdown_buy_hold,gesamtrendite_strategie,cagr_strategie,max_drawdown_strategie
B1_SMA20,0.37187054752696924,15.070638522436873,0.15243784897970292,-0.5370615106846011,4.393355405048282,0.08991205303666461,-0.25905778774074206
B1_SMA50,0.33482597191125585,15.070638522436873,0.15243784897970292,-0.5370615106846011,2.4442120973424744,0.06522289589256403,-0.28976693798857533
B1_SMA200,0.2338693262772237,15.070638522436873,0.15243784897970292,-0.5370615106846011,7.586722910388582,0.11611831760444247,-0.2340975499423139
B2_SMA20,0.5292082230816202,15.070638522436873,0.15243784897970292,-0.5370615106846011,0.4663151350435786,0.01974768982362729,-0.5707576615091388
B2_SMA50,0.532871972318339,15.070638522436873,0.15243784897970292,-0.5370615106846011,0.3036872850248451,0.013641383073781377,-0.5752642816515681
B2_SMA200,0.5819255037655201,15.070638522436873,0.15243784897970292,-0.5370615106846011,0.13624479706588155,0.00654713878158808,-0.5145898789222549
B3_SMA20_Q1,0.13962955424384288,15.070638522436873,0.15243784897970292,-0.5370615106846011,3.9432834549291984,0.0850705825678979,-0.5153487290397689
B3_SMA50_Q1,0.10197435375534297,15.070638522436873,0.15243784897970292,-0.5370615106846011,8.051097326862566,0.11912573262723325,-0.4419642999118758
B3_SMA200_Q1,0.06554040301241604,15.070638522436873,0.15243784897970292,-0.5370615106846011,6.2099085859320375,0.10619716779537147,-0.4613058125539873
Ampel_Rot,0.09749643802157541,15.070638522436873,0.15243784897970292,-0.5370615106846011,2.975332234643819,0.07305658716879182,-0.5780775762611482
