label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,sma_fenster,horizont_tage,zielgröße,n_bestätigt,n_nicht_bestätigt
"20-Tage-Hoch, Breite bestätigt",418,0.0015629743034315604,0.0032393576613278,0.05670755754191239,"20-Tage-Hoch, Breite nicht bestätigt",93,0.005075000105349826,0.0130580639015511,0.053242844934814994,0.5706462801261744,0.75640831787193,False,20,30,fwd_return,424,93
"20-Tage-Hoch, Breite bestätigt",418,-0.059367831297507376,-0.0519058677908441,0.03696100744698854,"20-Tage-Hoch, Breite nicht bestätigt",93,-0.05543215381384299,-0.048131093034616,0.027043923707028152,0.2397487112376768,0.5064840212647663,False,20,30,fwd_mdd,424,93
"20-Tage-Hoch, Breite bestätigt",414,0.008873263033178109,0.0185773119806871,0.0964820314326296,"20-Tage-Hoch, Breite nicht bestätigt",92,0.018274800153952154,0.01724903877885725,0.07749398546386216,0.3170956963857615,0.873792705553164,False,20,60,fwd_return,424,93
"20-Tage-Hoch, Breite bestätigt",414,-0.09112627865094534,-0.0810412880860327,0.06373979465159209,"20-Tage-Hoch, Breite nicht bestätigt",92,-0.07638998142931902,-0.066150534199652,0.04871455052943905,0.014528379489206916,0.022334133357717712,True,20,60,fwd_mdd,424,93
"20-Tage-Hoch, Breite bestätigt",406,0.018894692957792947,0.022849832159527253,0.11081813013418537,"20-Tage-Hoch, Breite nicht bestätigt",89,0.02376276497509957,0.0199459903037819,0.11520057509027777,0.7168476922444899,0.6671985009040933,False,20,90,fwd_return,424,93
"20-Tage-Hoch, Breite bestätigt",406,-0.11301190943316365,-0.0912143870951704,0.0753243132058087,"20-Tage-Hoch, Breite nicht bestätigt",89,-0.10774984068798678,-0.0912143870951704,0.07179446161493146,0.5359075171549462,0.8324211069872909,False,20,90,fwd_mdd,424,93
"50-Tage-Hoch, Breite bestätigt",301,-0.0005029370390137572,0.002301204933647,0.05670837795811299,"50-Tage-Hoch, Breite nicht bestätigt",41,-0.0025739675743589297,0.0009989283033982,0.04292463608649298,0.7821934497935226,0.9141878885644779,False,50,30,fwd_return,307,41
"50-Tage-Hoch, Breite bestätigt",301,-0.05966978575226992,-0.0519058677908441,0.03302949312958276,"50-Tage-Hoch, Breite nicht bestätigt",41,-0.05747176674211014,-0.0509606809457103,0.025509343567125958,0.6204416135472612,0.9456249627051814,False,50,30,fwd_mdd,307,41
"50-Tage-Hoch, Breite bestätigt",297,0.004911573577665974,0.0137314859853474,0.1048162373638498,"50-Tage-Hoch, Breite nicht bestätigt",40,0.016104196791322963,0.00920800383722515,0.07669558657512845,0.41259338391235467,0.6289703713906771,False,50,60,fwd_return,307,41
"50-Tage-Hoch, Breite bestätigt",297,-0.09062972233878651,-0.0772172637315837,0.06748849706845186,"50-Tage-Hoch, Breite nicht bestätigt",40,-0.08099124461449962,-0.08392610406276366,0.05896455886167355,0.3447778439512447,0.6529657820974386,False,50,60,fwd_mdd,307,41
"50-Tage-Hoch, Breite bestätigt",290,0.01119147095490148,0.01785386004451455,0.11682231792638466,"50-Tage-Hoch, Breite nicht bestätigt",39,0.04752487154573137,0.0644920655650136,0.10827804272606453,0.05689499052152034,0.006614851282148699,False,50,90,fwd_return,307,41
"50-Tage-Hoch, Breite bestätigt",290,-0.1167030704971025,-0.0912143870951704,0.08461854479575187,"50-Tage-Hoch, Breite nicht bestätigt",39,-0.10107683990236045,-0.0854334318572312,0.06619944543031724,0.1873422565366454,0.25490612134692203,False,50,90,fwd_mdd,307,41
"200-Tage-Hoch, Breite bestätigt",179,0.004018390803077478,0.002301204933647,0.053456903947323255,"200-Tage-Hoch, Breite nicht bestätigt",21,-0.0085711495920634,-0.0122168718631648,0.04510873653349167,0.24630045974933268,0.20220925953779023,False,200,30,fwd_return,185,21
"200-Tage-Hoch, Breite bestätigt",179,-0.050592170166644586,-0.0438592175986219,0.02782175980444134,"200-Tage-Hoch, Breite nicht bestätigt",21,-0.0631943633512597,-0.0644585175643506,0.02623120707886519,0.04876469040758169,0.02118581893848859,True,200,30,fwd_mdd,185,21
"200-Tage-Hoch, Breite bestätigt",174,-0.000703459640688045,0.0105726256402013,0.11696137996979461,"200-Tage-Hoch, Breite nicht bestätigt",21,0.005799310340478982,0.0047499542810631,0.047866492741790626,0.6369152936497376,0.5085641107332354,False,200,60,fwd_return,185,21
"200-Tage-Hoch, Breite bestätigt",174,-0.09242672159106971,-0.0711608445411949,0.08405908622854652,"200-Tage-Hoch, Breite nicht bestätigt",21,-0.07027636953528392,-0.0854334318572312,0.023839124890645786,0.008322434360315267,0.7275892999236149,False,200,60,fwd_mdd,185,21
"200-Tage-Hoch, Breite bestätigt",170,0.0014881132020015874,0.01638843394652485,0.11483459525639236,"200-Tage-Hoch, Breite nicht bestätigt",19,0.0341637936922766,0.0406451348673648,0.08432607752622298,0.1362665155409197,0.09771869072050964,False,200,90,fwd_return,185,21
"200-Tage-Hoch, Breite bestätigt",170,-0.12209874572080388,-0.0912143870951704,0.09939061407267505,"200-Tage-Hoch, Breite nicht bestätigt",19,-0.0905581093457604,-0.0854334318572312,0.04819058263285675,0.024104164862949796,0.12729671141013657,False,200,90,fwd_mdd,185,21
