hypothese,anteil_schlecht_tage,gesamtrendite_buy_hold,cagr_buy_hold,max_drawdown_buy_hold,gesamtrendite_strategie,cagr_strategie,max_drawdown_strategie
B1_SMA20,0.3744548286604361,3.2073789790876983,0.07617132723967646,-0.4689537969616149,0.5485215593495858,0.022593609247366198,-0.42714135831444056
B1_SMA50,0.34101765316718585,3.2073789790876983,0.07617132723967646,-0.4689537969616149,0.13347820334125782,0.006421780006418576,-0.36200479600691393
B1_SMA200,0.23883696780893043,3.2073789790876983,0.07617132723967646,-0.4689537969616149,1.504249388404542,0.048018286701842605,-0.24521456444321732
B2_SMA20,0.5808930425752855,3.2073789790876983,0.07617132723967646,-0.4689537969616149,-0.014863450953848889,-0.000764797010241236,-0.4928214036169333
B2_SMA50,0.6228452751817238,3.2073789790876983,0.07617132723967646,-0.4689537969616149,0.2841564241983776,0.0128599651108936,-0.4225767998761334
B2_SMA200,0.7144340602284528,3.2073789790876983,0.07617132723967646,-0.4689537969616149,-0.28399770882738473,-0.016923254029318158,-0.3755025698588559
B3_SMA20_Q1,0.1435098650051921,3.2073789790876983,0.07617132723967646,-0.4689537969616149,1.1153084135953253,0.03901947434069597,-0.4476263389483135
B3_SMA50_Q1,0.10467289719626169,3.2073789790876983,0.07617132723967646,-0.4689537969616149,1.4882544961868382,0.04767525276259876,-0.5164031825763149
B3_SMA200_Q1,0.06936656282450675,3.2073789790876983,0.07617132723967646,-0.4689537969616149,0.9184069931196934,0.03384574164470089,-0.4566000198811332
Ampel_Rot,0.10799584631360332,3.2073789790876983,0.07617132723967646,-0.4689537969616149,0.9241055453810241,0.03400242148989063,-0.4437308950598573
