label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,horizont_tage,zielgröße,n_events
B5-Signal,33,0.020819171847427598,0.0409227852295073,0.06870539851600445,Basisrate (alle Tage),4900,0.011837625741760801,0.0183176439524115,0.056070668689213544,0.4591117525234473,0.1886065092700977,False,30,fwd_return,33
B5-Signal,33,-0.08186638619394496,-0.0712444360287855,0.059895721053982914,Basisrate (alle Tage),4900,-0.05126793011805699,-0.0390262566397828,0.046128767744052855,0.006198328621776406,0.000126821068469093,True,30,fwd_mdd,33
B5-Signal,33,0.032488078200454885,0.0389314762923855,0.10278262552044153,Basisrate (alle Tage),4870,0.023693405288458688,0.03469474310657475,0.07635976372958428,0.627017219121737,0.3461348039913922,False,60,fwd_return,33
B5-Signal,33,-0.11479372822225198,-0.0874647382038811,0.07980346950449657,Basisrate (alle Tage),4870,-0.07562027978405833,-0.0569034564695777,0.062107351867389284,0.00826626380964608,0.00111142172533069,True,60,fwd_mdd,33
B5-Signal,33,0.06362100498847924,0.0780467370803077,0.10124995450333796,Basisrate (alle Tage),4840,0.03525255375672085,0.04767929552642985,0.09321808288073331,0.11823032757237216,0.11781876018178691,False,90,fwd_return,33
B5-Signal,33,-0.13002813101206567,-0.0983743747421623,0.08457060701518879,Basisrate (alle Tage),4840,-0.09353234135285159,-0.0720073499468654,0.07266074587880543,0.01884727248164261,0.0033615561883018046,True,90,fwd_mdd,33
