kw_pvalue,kw_signifikant_5pct,mean_Q1 (0-25%),n_Q1 (0-25%),mean_Q2 (25-50%),n_Q2 (25-50%),mean_Q3 (50-75%),n_Q3 (50-75%),mean_Q4 (75-100%),n_Q4 (75-100%),q1_vs_q4_t_pvalue,q1_vs_q4_u_pvalue,q1_vs_q4_signifikant_5pct,sma_fenster,horizont_tage,zielgröße
5.945088456680563e-13,True,0.03577989051435598,686,0.02121583463012419,1122,0.01570226388421525,1955,0.0157909862123602,1120,1.798217996730691e-07,2.0372113464361607e-10,True,20,30,fwd_return
9.086988733247266e-18,True,-0.07292532179696473,686,-0.06441210426279993,1122,-0.055716103207230014,1955,-0.05680237799630249,1120,1.1596077147620632e-10,1.0230133985473012e-11,True,20,30,fwd_mdd
6.452449300235548e-14,True,0.05795270962288523,686,0.044538689294572525,1114,0.03266256622794419,1933,0.03625014219127545,1120,3.487300923559127e-05,7.254672497282892e-08,True,20,60,fwd_return
6.787067748391724e-11,True,-0.10187855654203068,686,-0.09001833972611509,1114,-0.08438903522789852,1933,-0.08268167643929682,1120,5.924775791893042e-09,3.8699510279698885e-11,True,20,60,fwd_mdd
5.934344215960155e-12,True,0.08051921839940293,681,0.061064907088060824,1111,0.053020605611814084,1914,0.05556197339492725,1117,0.0001025697907556302,2.3996820413665893e-09,True,20,90,fwd_return
0.001050998904092783,True,-0.12171870385112583,681,-0.11067007079675727,1111,-0.10527558799490451,1914,-0.10264176133592932,1117,7.491325576002082e-07,0.00019440448239211165,True,20,90,fwd_mdd
8.123675732334234e-19,True,0.03668003990868026,501,0.027977723223486108,1133,0.013109235242123313,2098,0.016641499439529542,1151,1.2324199292735857e-05,7.843931877061981e-07,True,50,30,fwd_return
4.509706831633621e-34,True,-0.0846586352667945,501,-0.0636500683442795,1133,-0.056497643264870036,2098,-0.053674402770758266,1151,5.959978493098467e-24,2.8809732008239e-30,True,50,30,fwd_mdd
7.23563059476802e-14,True,0.0510356873250592,501,0.0508031455249446,1130,0.03400016671114261,2071,0.03450719322022525,1151,0.008733626108809558,0.00027642951291969366,True,50,60,fwd_return
8.89372591807405e-28,True,-0.11696450683699235,501,-0.09249372680666608,1130,-0.08288624657341435,2071,-0.07916772986955564,1151,1.6618370276961773e-21,1.6950198308724396e-26,True,50,60,fwd_mdd
1.9723056745011374e-12,True,0.06466330861570352,495,0.07273729871824192,1122,0.049622440550688866,2055,0.06136156443932979,1151,0.6739062026024795,0.1970265625422195,False,50,90,fwd_return
4.879198812749808e-18,True,-0.14105590304569704,495,-0.1102722671436008,1122,-0.10554662918931529,2055,-0.09691288452259879,1151,3.184053654656386e-21,2.5384620469894776e-19,True,50,90,fwd_mdd
9.048630537331307e-06,True,0.04194687757988312,322,0.016857583019677765,827,0.019785175422405883,2231,0.016729314500298315,1503,1.5103803042188356e-05,1.0850963663898302e-05,True,200,30,fwd_return
2.8472032014068417e-92,True,-0.09867701194480137,322,-0.07990969761854294,827,-0.05320839586110002,2231,-0.052078208861408924,1503,1.5346575668880923e-36,1.2730851843286966e-57,True,200,30,fwd_mdd
8.89909599269922e-07,True,0.06922818340455392,322,0.03465889140163497,827,0.03955206008160306,2201,0.03666007715453817,1503,1.738725023491668e-05,3.276096144557508e-05,True,200,60,fwd_return
4.220984353563218e-71,True,-0.13027767318026096,322,-0.11333815924608823,827,-0.0802762916755616,2201,-0.07553454192401558,1503,1.8758163664074045e-35,1.581014628820386e-50,True,200,60,fwd_mdd
0.0025635595790888875,True,0.09873542820615744,322,0.04547828963093139,809,0.05599347193105149,2189,0.06325110357757617,1503,0.00017598153597678216,0.0008012714339460865,True,200,90,fwd_return
1.3512482212534613e-59,True,-0.1482971216911165,322,-0.13829840980894786,809,-0.10417268395867182,2189,-0.08937066993132624,1503,6.446324113965309e-36,4.928546056130724e-46,True,200,90,fwd_mdd
