label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,horizont_tage,zielgröße,n_events
B4-Signal,111,0.01939164772322055,0.02342189547591,0.04448305849148167,Basisrate (alle Tage),4900,0.011837625741760801,0.0183176439524115,0.056070668689213544,0.08137520714262052,0.09940522341480777,False,30,fwd_return,111
B4-Signal,111,-0.04203732312514979,-0.0336882327347637,0.038591646115119754,Basisrate (alle Tage),4900,-0.05126793011805699,-0.0390262566397828,0.046128767744052855,0.01455213753706788,0.03668101527132973,True,30,fwd_mdd,111
B4-Signal,111,0.026521390915978098,0.0322009024704181,0.05829334089869782,Basisrate (alle Tage),4870,0.023693405288458688,0.03469474310657475,0.07635976372958428,0.6170139442814976,0.9163224163326809,False,60,fwd_return,111
B4-Signal,111,-0.06259269204060802,-0.0508332869912648,0.04947339537220007,Basisrate (alle Tage),4870,-0.07562027978405833,-0.0569034564695777,0.062107351867389284,0.007392182079737228,0.031073907550077322,True,60,fwd_mdd,111
B4-Signal,111,0.04353487181738334,0.0497481632935894,0.06289120958288799,Basisrate (alle Tage),4840,0.03525255375672085,0.04767929552642985,0.09321808288073331,0.1783212847104144,0.4558160346957838,False,90,fwd_return,111
B4-Signal,111,-0.07451410671720311,-0.057555936154791,0.056169424189528694,Basisrate (alle Tage),4840,-0.09353234135285159,-0.0720073499468654,0.07266074587880543,0.0006547306971992191,0.0015540187049147966,True,90,fwd_mdd,111
