label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,sma_fenster,schwelle,bezeichnung,horizont_tage,zielgröße,n_events
B7 SMA20 verlässt unteres Quartil (25%),70,0.006408234753642377,0.03415006089371725,0.09859393304678653,Basisrate (alle Tage),4900,0.011837625741760801,0.0183176439524115,0.056070668689213544,0.6471828357842638,0.2371726450651368,False,20,25,verlässt unteres Quartil (25%),30,fwd_return,70
B7 SMA20 verlässt unteres Quartil (25%),70,-0.08919663910008373,-0.0569034564695777,0.07814940592666858,Basisrate (alle Tage),4900,-0.05126793011805699,-0.0390262566397828,0.046128767744052855,0.00013080685767165223,1.8161098533476221e-07,True,20,25,verlässt unteres Quartil (25%),30,fwd_mdd,70
B7 SMA20 verlässt unteres Quartil (25%),70,0.02392865864352209,0.049882155514364,0.12207443284068037,Basisrate (alle Tage),4870,0.023693405288458688,0.03469474310657475,0.07635976372958428,0.9872177454879729,0.3023972955081826,False,20,25,verlässt unteres Quartil (25%),60,fwd_return,70
B7 SMA20 verlässt unteres Quartil (25%),70,-0.12048823101937153,-0.09827284429731364,0.09358598268690772,Basisrate (alle Tage),4870,-0.07562027978405833,-0.0569034564695777,0.062107351867389284,0.00015611636566825355,6.173576667114598e-07,True,20,25,verlässt unteres Quartil (25%),60,fwd_mdd,70
B7 SMA20 verlässt unteres Quartil (25%),70,0.035723863268212155,0.06932977807426564,0.15731670536055423,Basisrate (alle Tage),4840,0.03525255375672085,0.04767929552642985,0.09321808288073331,0.9801245476863205,0.26648353233208677,False,20,25,verlässt unteres Quartil (25%),90,fwd_return,70
B7 SMA20 verlässt unteres Quartil (25%),70,-0.14095138556499903,-0.10611428238428865,0.10477882261592011,Basisrate (alle Tage),4840,-0.09353234135285159,-0.0720073499468654,0.07266074587880543,0.00033406277459846245,1.7778677701952636e-05,True,20,25,verlässt unteres Quartil (25%),90,fwd_mdd,70
B7 SMA20 steigt über 50%,64,0.003334250865883254,0.015934170563482848,0.0778765970323346,Basisrate (alle Tage),4900,0.011837625741760801,0.0183176439524115,0.056070668689213544,0.3872442382754469,0.777319321169812,False,20,50,steigt über 50%,30,fwd_return,64
B7 SMA20 steigt über 50%,64,-0.08161014034293412,-0.07066615148775646,0.05872436691316548,Basisrate (alle Tage),4900,-0.05126793011805699,-0.0390262566397828,0.046128767744052855,0.00011205026081136278,8.34979356281905e-08,True,20,50,steigt über 50%,30,fwd_mdd,64
B7 SMA20 steigt über 50%,64,0.013368769877450205,0.039418969427470196,0.1250376021887197,Basisrate (alle Tage),4870,0.023693405288458688,0.03469474310657475,0.07635976372958428,0.5122962986956283,0.4744145928772987,False,20,50,steigt über 50%,60,fwd_return,64
B7 SMA20 steigt über 50%,64,-0.12078287732491824,-0.08098341954972785,0.0877144491364734,Basisrate (alle Tage),4870,-0.07562027978405833,-0.0569034564695777,0.062107351867389284,0.0001168189017377653,2.409919224675702e-07,True,20,50,steigt über 50%,60,fwd_mdd,64
B7 SMA20 steigt über 50%,64,0.03383626608643643,0.07061422502442145,0.13993717240142206,Basisrate (alle Tage),4840,0.03525255375672085,0.04767929552642985,0.09321808288073331,0.9359091842069664,0.23790202214408085,False,20,50,steigt über 50%,90,fwd_return,64
B7 SMA20 steigt über 50%,64,-0.1416427418775152,-0.0983743747421623,0.10573773780008229,Basisrate (alle Tage),4840,-0.09353234135285159,-0.0720073499468654,0.07266074587880543,0.0005678849494735386,1.7644281005830817e-05,True,20,50,steigt über 50%,90,fwd_mdd,64
B7 SMA50 verlässt unteres Quartil (25%),47,0.010391377178776657,0.0136895603716713,0.07856145553003294,Basisrate (alle Tage),4900,0.011837625741760801,0.0183176439524115,0.056070668689213544,0.9003548500969022,0.5799017761273837,False,50,25,verlässt unteres Quartil (25%),30,fwd_return,47
B7 SMA50 verlässt unteres Quartil (25%),47,-0.07590287480217012,-0.05729189932131,0.05860641880635283,Basisrate (alle Tage),4900,-0.05126793011805699,-0.0390262566397828,0.046128767744052855,0.00610270653887124,2.781428404730818e-06,True,50,25,verlässt unteres Quartil (25%),30,fwd_mdd,47
B7 SMA50 verlässt unteres Quartil (25%),47,0.00047799094083464036,0.0285268555780828,0.12444560519520188,Basisrate (alle Tage),4870,0.023693405288458688,0.03469474310657475,0.07635976372958428,0.20810132222195937,0.4392661128522266,False,50,25,verlässt unteres Quartil (25%),60,fwd_return,47
B7 SMA50 verlässt unteres Quartil (25%),47,-0.12339121433616755,-0.0983743747421623,0.09158953659215185,Basisrate (alle Tage),4870,-0.07562027978405833,-0.0569034564695777,0.062107351867389284,0.0008490056959542215,2.068927637438999e-06,True,50,25,verlässt unteres Quartil (25%),60,fwd_mdd,47
B7 SMA50 verlässt unteres Quartil (25%),47,0.010510171455869716,0.023006655263031,0.14818812334327602,Basisrate (alle Tage),4840,0.03525255375672085,0.04767929552642985,0.09321808288073331,0.25912621125038643,0.26413915653575015,False,50,25,verlässt unteres Quartil (25%),90,fwd_return,47
B7 SMA50 verlässt unteres Quartil (25%),47,-0.14408391540629872,-0.1034688878531556,0.10699222372955432,Basisrate (alle Tage),4840,-0.09353234135285159,-0.0720073499468654,0.07266074587880543,0.002264396971003526,1.60945406869414e-05,True,50,25,verlässt unteres Quartil (25%),90,fwd_mdd,47
B7 SMA50 steigt über 50%,42,-0.0012978906538642365,0.0298157875671949,0.09229723587648477,Basisrate (alle Tage),4900,0.011837625741760801,0.0183176439524115,0.056070668689213544,0.3624726403520538,0.6788962955940177,False,50,50,steigt über 50%,30,fwd_return,42
B7 SMA50 steigt über 50%,42,-0.08186260350971405,-0.05031785722494355,0.07366520275503241,Basisrate (alle Tage),4900,-0.05126793011805699,-0.0390262566397828,0.046128767744052855,0.010342239039748494,0.004686101427960906,True,50,50,steigt über 50%,30,fwd_mdd,42
B7 SMA50 steigt über 50%,42,0.008134733153578107,0.038980845664611,0.12489239042791042,Basisrate (alle Tage),4870,0.023693405288458688,0.03469474310657475,0.07635976372958428,0.4248347000443748,0.6563771050639728,False,50,50,steigt über 50%,60,fwd_return,42
B7 SMA50 steigt über 50%,42,-0.12648648188337186,-0.0775163583620283,0.10920466992991211,Basisrate (alle Tage),4870,-0.07562027978405833,-0.0569034564695777,0.062107351867389284,0.004390932418373708,0.0010499638247525047,True,50,50,steigt über 50%,60,fwd_mdd,42
B7 SMA50 steigt über 50%,42,0.02952783715583189,0.060089785549604396,0.14139989125425853,Basisrate (alle Tage),4840,0.03525255375672085,0.04767929552642985,0.09321808288073331,0.7947108585500462,0.5349947414005485,False,50,50,steigt über 50%,90,fwd_return,42
B7 SMA50 steigt über 50%,42,-0.1409355194450519,-0.0775163583620283,0.11240376344430308,Basisrate (alle Tage),4840,-0.09353234135285159,-0.0720073499468654,0.07266074587880543,0.009312498441338373,0.0022479154372054464,True,50,50,steigt über 50%,90,fwd_mdd,42
B7 SMA200 verlässt unteres Quartil (25%),34,0.02273797640800592,0.0380309048735121,0.0743172613999633,Basisrate (alle Tage),4900,0.011837625741760801,0.0183176439524115,0.056070668689213544,0.39945418225563156,0.028122433533221105,False,200,25,verlässt unteres Quartil (25%),30,fwd_return,34
B7 SMA200 verlässt unteres Quartil (25%),34,-0.07644445550135426,-0.0610397389448511,0.065310317532387,Basisrate (alle Tage),4900,-0.05126793011805699,-0.0390262566397828,0.046128767744052855,0.03161869092414019,0.00021072514832253978,True,200,25,verlässt unteres Quartil (25%),30,fwd_mdd,34
B7 SMA200 verlässt unteres Quartil (25%),34,0.051009595288529955,0.06413506681340825,0.09579180618051167,Basisrate (alle Tage),4870,0.023693405288458688,0.03469474310657475,0.07635976372958428,0.10649033791578852,0.0010979893819980842,False,200,25,verlässt unteres Quartil (25%),60,fwd_return,34
B7 SMA200 verlässt unteres Quartil (25%),34,-0.09125537640187627,-0.0712444360287855,0.08131425467283368,Basisrate (alle Tage),4870,-0.07562027978405833,-0.0569034564695777,0.062107351867389284,0.27119721840442973,0.04552451411907792,False,200,25,verlässt unteres Quartil (25%),60,fwd_mdd,34
B7 SMA200 verlässt unteres Quartil (25%),34,0.050723742220113645,0.0818797797842734,0.11983041254846602,Basisrate (alle Tage),4840,0.03525255375672085,0.04767929552642985,0.09321808288073331,0.4577916309526578,0.10011051861507062,False,200,25,verlässt unteres Quartil (25%),90,fwd_return,34
B7 SMA200 verlässt unteres Quartil (25%),34,-0.1061806269863082,-0.0925195948935095,0.08035040610974889,Basisrate (alle Tage),4840,-0.09353234135285159,-0.0720073499468654,0.07266074587880543,0.3666257396741057,0.07360058304727175,False,200,25,verlässt unteres Quartil (25%),90,fwd_mdd,34
B7 SMA200 steigt über 50%,14,-0.01589076590043443,-0.0239382595641731,0.05885707134523336,Basisrate (alle Tage),4900,0.011837625741760801,0.0183176439524115,0.056070668689213544,0.10169846703682946,0.06485363348273525,False,200,50,steigt über 50%,30,fwd_return,14
B7 SMA200 steigt über 50%,14,-0.06506718120979095,-0.06760883111745175,0.03563880109275741,Basisrate (alle Tage),4900,-0.05126793011805699,-0.0390262566397828,0.046128767744052855,0.17182373318452035,0.04657733937365269,False,200,50,steigt über 50%,30,fwd_mdd,14
B7 SMA200 steigt über 50%,14,0.024003473660500162,0.04264707953427345,0.07820368107069921,Basisrate (alle Tage),4870,0.023693405288458688,0.03469474310657475,0.07635976372958428,0.9884035586654963,0.7059828365751507,False,200,50,steigt über 50%,60,fwd_return,14
B7 SMA200 steigt über 50%,14,-0.08522949875613116,-0.0727652266488336,0.04009522552254926,Basisrate (alle Tage),4870,-0.07562027978405833,-0.0569034564695777,0.062107351867389284,0.3875371065614311,0.10107759075706395,False,200,50,steigt über 50%,60,fwd_mdd,14
B7 SMA200 steigt über 50%,14,0.0002542890947038091,0.05200265043165215,0.14615956740332733,Basisrate (alle Tage),4840,0.03525255375672085,0.04767929552642985,0.09321808288073331,0.38680340050093687,0.7077967676562587,False,200,50,steigt über 50%,90,fwd_return,14
B7 SMA200 steigt über 50%,14,-0.11515502870894924,-0.0775163583620283,0.09170094772053783,Basisrate (alle Tage),4840,-0.09353234135285159,-0.0720073499468654,0.07266074587880543,0.39401421442090073,0.2806949178028242,False,200,50,steigt über 50%,90,fwd_mdd,14
