label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,sma_fenster,horizont_tage,zielgröße,n_bestätigt,n_nicht_bestätigt
"20-Tage-Hoch, Breite bestätigt",760,0.014213350509968348,0.018858732721738797,0.059409092000059095,"20-Tage-Hoch, Breite nicht bestätigt",330,0.01707427880417022,0.0253368516130072,0.05290103187021664,0.4299653238039524,0.34540792044128166,False,20,30,fwd_return,760,330
"20-Tage-Hoch, Breite bestätigt",760,-0.053600909990360344,-0.0402983343289705,0.042094608425355576,"20-Tage-Hoch, Breite nicht bestätigt",330,-0.051951116704383814,-0.040142218407865,0.03953929841315341,0.5351326377822062,0.7588308424402089,False,20,30,fwd_mdd,760,330
"20-Tage-Hoch, Breite bestätigt",755,0.030315310322117442,0.0397359913793102,0.08515047155689946,"20-Tage-Hoch, Breite nicht bestätigt",325,0.029811596942423278,0.0308671650787846,0.06927552067454655,0.9187549014191209,0.43704250206819406,False,20,60,fwd_return,760,330
"20-Tage-Hoch, Breite bestätigt",755,-0.08386114303777228,-0.0722510625797964,0.06169374848181353,"20-Tage-Hoch, Breite nicht bestätigt",325,-0.07925677502037647,-0.0697236401208454,0.0525333260350344,0.21111325126908764,0.5130518597797307,False,20,60,fwd_mdd,760,330
"20-Tage-Hoch, Breite bestätigt",746,0.04653889409785351,0.05720721384120795,0.09643957318759666,"20-Tage-Hoch, Breite nicht bestätigt",321,0.04934671519348365,0.0531573838556043,0.08689878575523714,0.6399207668548974,0.8068846803818182,False,20,90,fwd_return,760,330
"20-Tage-Hoch, Breite bestätigt",746,-0.1043509114700371,-0.0823284075368304,0.06807339689972666,"20-Tage-Hoch, Breite nicht bestätigt",321,-0.10412163352063993,-0.0823284075368304,0.06239192489422457,0.957317993163348,0.5990206031096506,False,20,90,fwd_mdd,760,330
"50-Tage-Hoch, Breite bestätigt",646,0.013341514104488531,0.01849388876225505,0.05414011960728478,"50-Tage-Hoch, Breite nicht bestätigt",231,0.015800869706863556,0.0240002342224852,0.05345603149563458,0.5500988813106845,0.3926638598234746,False,50,30,fwd_return,646,231
"50-Tage-Hoch, Breite bestätigt",646,-0.05170184014644337,-0.0404513884293178,0.039820204440298296,"50-Tage-Hoch, Breite nicht bestätigt",231,-0.0523702742295536,-0.0346320206247457,0.04212064300297841,0.8338045996587617,0.9840633683366744,False,50,30,fwd_mdd,646,231
"50-Tage-Hoch, Breite bestätigt",641,0.028658687604114618,0.0363771850219496,0.07057496201419898,"50-Tage-Hoch, Breite nicht bestätigt",226,0.026831887694646717,0.030147639153125197,0.0662268909780006,0.7262016835787704,0.9742469630837762,False,50,60,fwd_return,646,231
"50-Tage-Hoch, Breite bestätigt",641,-0.07974744109228867,-0.0702063997418307,0.05363490620500174,"50-Tage-Hoch, Breite nicht bestätigt",226,-0.08200024546277225,-0.0723745005252891,0.052048208051181565,0.579181246281851,0.4054855874653738,False,50,60,fwd_mdd,646,231
"50-Tage-Hoch, Breite bestätigt",632,0.043212265079910425,0.047778870263717146,0.08161469754978744,"50-Tage-Hoch, Breite nicht bestätigt",225,0.05321754952796528,0.0644467642818205,0.08273065441743684,0.11878301776133662,0.009712099268795979,False,50,90,fwd_return,646,231
"50-Tage-Hoch, Breite bestätigt",632,-0.10192367166731614,-0.0823284075368304,0.06148262178093358,"50-Tage-Hoch, Breite nicht bestätigt",225,-0.0996917052326502,-0.0823284075368304,0.05885276335300017,0.629522699440838,0.8148473000951282,False,50,90,fwd_mdd,646,231
"200-Tage-Hoch, Breite bestätigt",448,0.012234608869284597,0.01696661018849465,0.052946179816643964,"200-Tage-Hoch, Breite nicht bestätigt",200,0.007318847008392748,0.01790762134818795,0.04989513661611975,0.2563744768111342,0.24109898341637825,False,200,30,fwd_return,448,200
"200-Tage-Hoch, Breite bestätigt",448,-0.0504855931211175,-0.0398779568247863,0.0396293221991159,"200-Tage-Hoch, Breite nicht bestätigt",200,-0.05727042626737686,-0.040219324174937954,0.04581395453492453,0.07067180686767037,0.2495515742344343,False,200,30,fwd_mdd,448,200
"200-Tage-Hoch, Breite bestätigt",441,0.022445642463062635,0.0320759003014903,0.0643934499798461,"200-Tage-Hoch, Breite nicht bestätigt",197,0.02004560723825614,0.0234457298418633,0.06086670079490525,0.6515983639133954,0.6330179762354133,False,200,60,fwd_return,448,200
"200-Tage-Hoch, Breite bestätigt",441,-0.08113961154252448,-0.0709830344502802,0.05640359101953691,"200-Tage-Hoch, Breite nicht bestätigt",197,-0.08353648372829645,-0.0752147993950179,0.05594555980837011,0.618293898872504,0.5662345396816364,False,200,60,fwd_mdd,448,200
"200-Tage-Hoch, Breite bestätigt",432,0.03327216940668737,0.0375433130938862,0.06735133935417757,"200-Tage-Hoch, Breite nicht bestätigt",197,0.04956336710904525,0.0541890331251608,0.07127542203608082,0.007167018025255394,0.00017988872655510816,True,200,90,fwd_return,448,200
"200-Tage-Hoch, Breite bestätigt",432,-0.10254943886501017,-0.0823284075368304,0.06356549058982977,"200-Tage-Hoch, Breite nicht bestätigt",197,-0.10074235448778607,-0.0790765942717625,0.05960418267715318,0.7300432447224849,0.5957009632472821,False,200,90,fwd_mdd,448,200
