hypothese,anteil_schlecht_tage,gesamtrendite_buy_hold,cagr_buy_hold,max_drawdown_buy_hold,gesamtrendite_strategie,cagr_strategie,max_drawdown_strategie
B1_SMA20,0.36776943373249443,4.461330052847957,0.0905568106567467,-0.5677538774277293,0.8770095340378818,0.03267551443564054,-0.3740499718055659
B1_SMA50,0.3320478993302212,4.461330052847957,0.0905568106567467,-0.5677538774277293,0.7816088400743919,0.029928566056997008,-0.43265137554162625
B1_SMA200,0.2561396387253907,4.461330052847957,0.0905568106567467,-0.5677538774277293,2.237771438095345,0.06182865564098039,-0.24656530479764227
B2_SMA20,0.507611122386848,4.461330052847957,0.0905568106567467,-0.5677538774277293,-0.16562480549479452,-0.009203379985242788,-0.6567717953576989
B2_SMA50,0.4994925918408768,4.461330052847957,0.0905568106567467,-0.5677538774277293,-0.0770696672914738,-0.004086915483529352,-0.6435616252216749
B2_SMA200,0.5086259387050944,4.461330052847957,0.0905568106567467,-0.5677538774277293,-0.2875911477620301,-0.01716640834927341,-0.5537145781419199
B3_SMA20_Q1,0.12949056220824032,4.461330052847957,0.0905568106567467,-0.5677538774277293,1.4601394448605567,0.0470402511896002,-0.5645734250375448
B3_SMA50_Q1,0.09864014613354982,4.461330052847957,0.0905568106567467,-0.5677538774277293,1.962970751599546,0.05703063537971764,-0.5498700653534743
B3_SMA200_Q1,0.06981936269535215,4.461330052847957,0.0905568106567467,-0.5677538774277293,2.4172425279908243,0.06475776512823184,-0.3845538153633882
Ampel_Rot,0.09255124822407144,4.461330052847957,0.0905568106567467,-0.5677538774277293,0.9513520787486782,0.03472575917053766,-0.4920834388845954
