label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,variante,horizont_tage,zielgröße,n_events
Divergenz_A_Retail_sorglos,960,0.002485242462449458,0.01375367621240625,0.05969676088706209,Basisrate (alle Tage),4865,0.011665213502405904,0.0181353644205584,0.05613869067369474,1.189227112949075e-05,0.0006406365961712554,True,Divergenz_A_Retail_sorglos,30,fwd_return,960
Divergenz_A_Retail_sorglos,960,-0.05740699576124733,-0.0433440379977808,0.043003797795372195,Basisrate (alle Tage),4865,-0.05141393226498508,-0.0390382202572884,0.04617043853352461,0.00010173093813404896,4.702388056206134e-13,True,Divergenz_A_Retail_sorglos,30,fwd_mdd,960
Divergenz_A_Retail_sorglos,960,0.006353687125611846,0.03328744045284585,0.09156992617998085,Basisrate (alle Tage),4836,0.02365880757550593,0.03474106572198235,0.0765187776560938,4.9413896604515816e-08,0.000862311844047327,True,Divergenz_A_Retail_sorglos,60,fwd_return,960
Divergenz_A_Retail_sorglos,960,-0.0904353036501362,-0.0747718059306452,0.06956830300459883,Basisrate (alle Tage),4836,-0.07566406395363538,-0.0569034564695777,0.06226824553104345,1.3135493755640541e-09,6.172303124123012e-22,True,Divergenz_A_Retail_sorglos,60,fwd_mdd,960
Divergenz_A_Retail_sorglos,960,0.009819054913266267,0.017863206272851352,0.10637648160512934,Basisrate (alle Tage),4806,0.035376146631666446,0.0477927840303842,0.09339483626978363,6.69386019316733e-12,3.128139651845561e-10,True,Divergenz_A_Retail_sorglos,90,fwd_return,960
Divergenz_A_Retail_sorglos,960,-0.1112684153173396,-0.0942514287897088,0.08005637911570726,Basisrate (alle Tage),4806,-0.09343244080373692,-0.0720073499468654,0.07274941882266713,2.2282981437375308e-10,2.477721867974087e-23,True,Divergenz_A_Retail_sorglos,90,fwd_mdd,960
Divergenz_B_Retail_ängstlich,575,0.019823111026151224,0.0281179739900421,0.04484461052330869,Basisrate (alle Tage),4865,0.011665213502405904,0.0181353644205584,0.05613869067369474,6.725533921220709e-05,0.001260410037694842,True,Divergenz_B_Retail_ängstlich,30,fwd_return,575
Divergenz_B_Retail_ängstlich,575,-0.03752280079758987,-0.0306609695628725,0.0312538737738878,Basisrate (alle Tage),4865,-0.05141393226498508,-0.0390382202572884,0.04617043853352461,1.7920193800603373e-20,1.1936101284456086e-16,True,Divergenz_B_Retail_ängstlich,30,fwd_mdd,575
Divergenz_B_Retail_ängstlich,575,0.033238558152731267,0.0414693660876666,0.059798995519542306,Basisrate (alle Tage),4836,0.02365880757550593,0.03474106572198235,0.0765187776560938,0.00046479855796667367,0.007098508524318391,True,Divergenz_B_Retail_ängstlich,60,fwd_return,575
Divergenz_B_Retail_ängstlich,575,-0.05472959364868652,-0.0397747538403665,0.04191219855786632,Basisrate (alle Tage),4836,-0.07566406395363538,-0.0569034564695777,0.06226824553104345,4.448093082802432e-25,1.2868426700022917e-23,True,Divergenz_B_Retail_ängstlich,60,fwd_mdd,575
Divergenz_B_Retail_ängstlich,575,0.05021569899431602,0.0596951894357813,0.06510025633826898,Basisrate (alle Tage),4806,0.035376146631666446,0.0477927840303842,0.09339483626978363,1.1604136674334205e-06,0.00029179825054441135,True,Divergenz_B_Retail_ängstlich,90,fwd_return,575
Divergenz_B_Retail_ängstlich,575,-0.06664329953717683,-0.0559572235491679,0.04527885613771381,Basisrate (alle Tage),4806,-0.09343244080373692,-0.0720073499468654,0.07274941882266713,6.856459398574844e-33,4.065059471861347e-25,True,Divergenz_B_Retail_ängstlich,90,fwd_mdd,575
