label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,reihe,horizont_tage,zielgröße,n_events
P4-Signal Total,97,0.009386630754413303,0.01628025072103,0.04916992455003399,Basisrate (alle Tage),4865,0.011665213502405904,0.0181353644205584,0.05613869067369474,0.6532519152465546,0.38628863959585347,False,Total,30,fwd_return,97
P4-Signal Total,97,-0.06501975855266591,-0.045846816089114,0.0660752213755313,Basisrate (alle Tage),4865,-0.05141393226498508,-0.0390382202572884,0.04617043853352461,0.04630477135919772,0.012103857740542071,True,Total,30,fwd_mdd,97
P4-Signal Total,97,0.024080474461468757,0.0256448058679807,0.05951202411016612,Basisrate (alle Tage),4836,0.02365880757550593,0.03474106572198235,0.0765187776560938,0.9453986951857233,0.24029255229838353,False,Total,60,fwd_return,97
P4-Signal Total,97,-0.08864285653945264,-0.0586745913833657,0.06844780341682918,Basisrate (alle Tage),4836,-0.07566406395363538,-0.0569034564695777,0.06226824553104345,0.06697172909722136,0.025973004493391218,False,Total,60,fwd_mdd,97
P4-Signal Total,97,0.04705662966808542,0.0427498470179725,0.06132864296427705,Basisrate (alle Tage),4806,0.035376146631666446,0.0477927840303842,0.09339483626978363,0.06957523744921576,0.9854913337598307,False,Total,90,fwd_return,97
P4-Signal Total,97,-0.09506317821884086,-0.0612255699829666,0.06697704529322317,Basisrate (alle Tage),4806,-0.09343244080373692,-0.0720073499468654,0.07274941882266713,0.8131447477641462,0.6407867067686158,False,Total,90,fwd_mdd,97
P4-Signal Equity,99,0.016070136494221093,0.015892399611781,0.053662481573156944,Basisrate (alle Tage),4865,0.011665213502405904,0.0181353644205584,0.05613869067369474,0.4210798184930362,0.6635208553274883,False,Equity,30,fwd_return,99
P4-Signal Equity,99,-0.06087888528754845,-0.045846816089114,0.06716938780104544,Basisrate (alle Tage),4865,-0.05141393226498508,-0.0390382202572884,0.04617043853352461,0.16600107936336023,0.5422160131418985,False,Equity,30,fwd_mdd,99
P4-Signal Equity,99,0.03614779907675704,0.0379404519957469,0.055817995621594924,Basisrate (alle Tage),4836,0.02365880757550593,0.03474106572198235,0.0765187776560938,0.03112712580550037,0.33640656330700214,False,Equity,60,fwd_return,99
P4-Signal Equity,99,-0.07983352161070147,-0.05729189932131,0.06991060845712777,Basisrate (alle Tage),4836,-0.07566406395363538,-0.0569034564695777,0.06226824553104345,0.5574087189721735,0.7940157185140163,False,Equity,60,fwd_mdd,99
P4-Signal Equity,99,0.05926312475031523,0.0574019595257828,0.05243750377437699,Basisrate (alle Tage),4806,0.035376146631666446,0.0477927840303842,0.09339483626978363,2.580692663866574e-05,0.041687120687157686,True,Equity,90,fwd_return,99
P4-Signal Equity,99,-0.091395035916852,-0.0612255699829666,0.0691323349481147,Basisrate (alle Tage),4806,-0.09343244080373692,-0.0720073499468654,0.07274941882266713,0.7724437506447192,0.602245742508447,False,Equity,90,fwd_mdd,99
