Date,fwd_return_30d,fwd_return_60d,fwd_return_90d,fwd_mdd_30d,fwd_mdd_60d,fwd_mdd_90d,reihe,variante
2009-02-09,-0.0733081406354829,0.0570647022181296,0.055731161011594,-0.222280957472202,-0.222280957472202,-0.222280957472202,Total,Total_Trend_negativ_PCR_Sorglos
2009-03-17,0.1227574411795757,0.2143242951957993,0.2584948541492564,-0.0544268626803496,-0.0544268626803496,-0.070893369898995,Total,Total_Trend_negativ_PCR_Sorglos
2009-04-22,0.1172545025321758,0.114788712573141,0.2197618026206009,-0.049879982953796,-0.070893369898995,-0.070893369898995,Total,Total_Trend_negativ_PCR_Sorglos
2009-04-29,0.0815553303481317,0.1208964714828111,0.1634082772903589,-0.049879982953796,-0.070893369898995,-0.070893369898995,Total,Total_Trend_negativ_PCR_Sorglos
2009-05-05,0.0076455347123443,0.0917791694261811,0.1537176306176335,-0.049879982953796,-0.070893369898995,-0.070893369898995,Total,Total_Trend_negativ_PCR_Sorglos
2009-05-29,-0.01968147025172,0.1157929476950618,0.147507402456573,-0.070893369898995,-0.070893369898995,-0.070893369898995,Total,Total_Trend_negativ_PCR_Sorglos
2009-06-05,0.0117435327595929,0.0856619748760505,0.141582094000072,-0.070893369898995,-0.070893369898995,-0.070893369898995,Total,Total_Trend_negativ_PCR_Sorglos
