label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,reihe,variante,horizont_tage,zielgröße,n_events
Total_Trend_positiv_PCR_Angst,30,0.012310112855955953,0.01942038497899725,0.049685049537498235,Basisrate (alle Tage),4865,0.011665213502405904,0.0181353644205584,0.05613869067369474,0.9440237236539327,0.9407563637685826,False,Total,Total_Trend_positiv_PCR_Angst,30,fwd_return,30
Total_Trend_positiv_PCR_Angst,30,-0.052915935413392644,-0.0405240476770107,0.050393871189780455,Basisrate (alle Tage),4865,-0.05141393226498508,-0.0390382202572884,0.04617043853352461,0.871770623063879,0.5999214396141426,False,Total,Total_Trend_positiv_PCR_Angst,30,fwd_mdd,30
Total_Trend_positiv_PCR_Angst,30,0.040901451490773635,0.051385606090584804,0.05052903946431251,Basisrate (alle Tage),4836,0.02365880757550593,0.03474106572198235,0.0765187776560938,0.07337054600478732,0.1829921658904754,False,Total,Total_Trend_positiv_PCR_Angst,60,fwd_return,30
Total_Trend_positiv_PCR_Angst,30,-0.07126045499699737,-0.0559572235491679,0.05627881878246954,Basisrate (alle Tage),4836,-0.07566406395363538,-0.0569034564695777,0.06226824553104345,0.6725185776963967,0.8041177008039618,False,Total,Total_Trend_positiv_PCR_Angst,60,fwd_mdd,30
Total_Trend_positiv_PCR_Angst,30,0.07232322525250727,0.0764361606026625,0.058702666617786024,Basisrate (alle Tage),4806,0.035376146631666446,0.0477927840303842,0.09339483626978363,0.0018269444097852383,0.017462611101143888,True,Total,Total_Trend_positiv_PCR_Angst,90,fwd_return,30
Total_Trend_positiv_PCR_Angst,30,-0.07246687539254325,-0.0559572235491679,0.05673040036346632,Basisrate (alle Tage),4806,-0.09343244080373692,-0.0720073499468654,0.07274941882266713,0.053190964137537336,0.03945497182865755,False,Total,Total_Trend_positiv_PCR_Angst,90,fwd_mdd,30
Equity_Trend_positiv_PCR_Angst,36,0.014270292378329,0.0279047085748542,0.04284505276726926,Basisrate (alle Tage),4865,0.011665213502405904,0.0181353644205584,0.05613869067369474,0.7190904580172957,0.7692342548919755,False,Equity,Equity_Trend_positiv_PCR_Angst,30,fwd_return,36
Equity_Trend_positiv_PCR_Angst,36,-0.04400316443940457,-0.03161655102057625,0.04660567992319146,Basisrate (alle Tage),4865,-0.05141393226498508,-0.0390382202572884,0.04617043853352461,0.34822585158297753,0.21652657855236324,False,Equity,Equity_Trend_positiv_PCR_Angst,30,fwd_mdd,36
Equity_Trend_positiv_PCR_Angst,36,0.03140652543693424,0.0363276638453735,0.042902079361840394,Basisrate (alle Tage),4836,0.02365880757550593,0.03474106572198235,0.0765187776560938,0.2911941644464023,0.8220107694258423,False,Equity,Equity_Trend_positiv_PCR_Angst,60,fwd_return,36
Equity_Trend_positiv_PCR_Angst,36,-0.06354102804676225,-0.05581610679463945,0.052410669828786845,Basisrate (alle Tage),4836,-0.07566406395363538,-0.0569034564695777,0.06226824553104345,0.17597081899794786,0.18937220345355177,False,Equity,Equity_Trend_positiv_PCR_Angst,60,fwd_mdd,36
Equity_Trend_positiv_PCR_Angst,36,0.05981177157040553,0.06499952915965909,0.04339988921514865,Basisrate (alle Tage),4806,0.035376146631666446,0.0477927840303842,0.09339483626978363,0.0020076733894319374,0.10092300699995682,False,Equity,Equity_Trend_positiv_PCR_Angst,90,fwd_return,36
Equity_Trend_positiv_PCR_Angst,36,-0.06885020439985001,-0.057584271422233504,0.05088832723061506,Basisrate (alle Tage),4806,-0.09343244080373692,-0.0720073499468654,0.07274941882266713,0.00671218051767671,0.02264505370463436,True,Equity,Equity_Trend_positiv_PCR_Angst,90,fwd_mdd,36
Index_Trend_positiv_PCR_Angst,17,0.04040530837408922,0.0283165968682346,0.03606460925797755,Basisrate (alle Tage),4865,0.011665213502405904,0.0181353644205584,0.05613869067369474,0.004708413886698106,0.033002322312734145,True,Index,Index_Trend_positiv_PCR_Angst,30,fwd_return,17
Index_Trend_positiv_PCR_Angst,17,-0.033386620066935685,-0.03056014180821,0.013134406739169378,Basisrate (alle Tage),4865,-0.05141393226498508,-0.0390382202572884,0.04617043853352461,3.296950569477281e-05,0.20163953277381086,False,Index,Index_Trend_positiv_PCR_Angst,30,fwd_mdd,17
Index_Trend_positiv_PCR_Angst,17,0.032530484782051075,0.0517789987335683,0.08157706599918381,Basisrate (alle Tage),4836,0.02365880757550593,0.03474106572198235,0.0765187776560938,0.6603320882084124,0.5539530761713183,False,Index,Index_Trend_positiv_PCR_Angst,60,fwd_return,17
Index_Trend_positiv_PCR_Angst,17,-0.0725232805389842,-0.0563947889555458,0.03538056497419267,Basisrate (alle Tage),4836,-0.07566406395363538,-0.0569034564695777,0.06226824553104345,0.720494880734206,0.5018200642574511,False,Index,Index_Trend_positiv_PCR_Angst,60,fwd_mdd,17
Index_Trend_positiv_PCR_Angst,17,0.04871712208723453,0.0541577548257337,0.08465183827468807,Basisrate (alle Tage),4806,0.035376146631666446,0.0477927840303842,0.09339483626978363,0.5258459384359754,0.6394229643431988,False,Index,Index_Trend_positiv_PCR_Angst,90,fwd_return,17
Index_Trend_positiv_PCR_Angst,17,-0.08658205525464424,-0.0812793891846527,0.03735293276347735,Basisrate (alle Tage),4806,-0.09343244080373692,-0.0720073499468654,0.07274941882266713,0.463191142031281,0.5371596100145365,False,Index,Index_Trend_positiv_PCR_Angst,90,fwd_mdd,17
