label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,reihe,horizont_tage,zielgröße
Total-PCR oberstes Dezil (Angst),489,0.026151734754882788,0.0371014943149023,0.06966460308368584,Total-PCR unterstes Dezil (Sorglosigkeit),489,0.013552304531063661,0.0166014312195552,0.046227394797366234,0.0008981416652821124,3.609961457853646e-08,True,Total,30,fwd_return
Total-PCR oberstes Dezil (Angst),489,-0.06595840078126637,-0.0559572235491679,0.05982218950760036,Total-PCR unterstes Dezil (Sorglosigkeit),489,-0.04915018571133742,-0.0407053608663008,0.03303981699157417,7.235684459689474e-08,1.9687742600779595e-05,True,Total,30,fwd_mdd
Total-PCR oberstes Dezil (Angst),489,0.044598205493801744,0.0527640036684899,0.08341157804781962,Total-PCR unterstes Dezil (Sorglosigkeit),470,0.03566793532251309,0.04525027152106695,0.05869624209009214,0.05475987658497952,0.006349431459481613,False,Total,60,fwd_return
Total-PCR oberstes Dezil (Angst),489,-0.08870393015236058,-0.0712444360287855,0.07008826899591615,Total-PCR unterstes Dezil (Sorglosigkeit),470,-0.07041816199879959,-0.0562159838711667,0.050502900318091085,3.846425942778572e-06,3.6003281650372364e-07,True,Total,60,fwd_mdd
Total-PCR oberstes Dezil (Angst),489,0.054563300898072306,0.0685845134550267,0.11251028085637645,Total-PCR unterstes Dezil (Sorglosigkeit),460,0.05972646641975341,0.07224478920129346,0.07138138053665752,0.3959920151535756,0.8079946189402409,False,Total,90,fwd_return
Total-PCR oberstes Dezil (Angst),489,-0.10318724434221993,-0.0874647382038811,0.0753522592991064,Total-PCR unterstes Dezil (Sorglosigkeit),460,-0.07879421201518595,-0.0641320647325952,0.05046195980743491,5.519180951472868e-09,1.2879084759920593e-08,True,Total,90,fwd_mdd
Equity-PCR oberstes Dezil (Angst),489,0.033981846632140794,0.036023173046243,0.05067443603081534,Equity-PCR unterstes Dezil (Sorglosigkeit),489,0.00846974933434519,0.0127778689607918,0.04139293897312636,2.7643905829948424e-17,9.144476214223693e-18,True,Equity,30,fwd_return
Equity-PCR oberstes Dezil (Angst),489,-0.051063805883296454,-0.0441392484981405,0.037032484991572925,Equity-PCR unterstes Dezil (Sorglosigkeit),489,-0.049743005644980444,-0.0402826229159568,0.028072776940988975,0.5298236929064376,0.6470750852972653,False,Equity,30,fwd_mdd
Equity-PCR oberstes Dezil (Angst),489,0.05824904343428483,0.0592787376808139,0.06176910145534269,Equity-PCR unterstes Dezil (Sorglosigkeit),480,0.020833079218074067,0.03676655975353345,0.06167667020761546,2.826996314530982e-20,6.914798417944151e-17,True,Equity,60,fwd_return
Equity-PCR oberstes Dezil (Angst),489,-0.06918646063742458,-0.057555936154791,0.0438850456238684,Equity-PCR unterstes Dezil (Sorglosigkeit),480,-0.07487119515439787,-0.0610060578930573,0.048586541788203645,0.05640664754763061,0.031018841955622337,False,Equity,60,fwd_mdd
Equity-PCR oberstes Dezil (Angst),489,0.09062027631257795,0.087165362836562,0.06708580857193822,Equity-PCR unterstes Dezil (Sorglosigkeit),478,0.03934093268900147,0.0557189558270314,0.07454786274783326,1.372440827560701e-27,3.8135719764302754e-19,True,Equity,90,fwd_return
Equity-PCR oberstes Dezil (Angst),489,-0.07408600988166088,-0.057612606689676,0.047201260127958826,Equity-PCR unterstes Dezil (Sorglosigkeit),478,-0.08694360384712627,-0.0812793891846527,0.050819707775859216,4.998963482756345e-05,2.7474624425415724e-06,True,Equity,90,fwd_mdd
Index-PCR oberstes Dezil (Angst),489,-0.0031424240742770485,0.0008783131184613,0.05293766446834698,Index-PCR unterstes Dezil (Sorglosigkeit),489,0.016057036855246207,0.0202419128121378,0.041303757440451304,3.989891928068571e-10,8.968766604356751e-09,True,Index,30,fwd_return
Index-PCR oberstes Dezil (Angst),489,-0.05802891340278638,-0.0498498198514072,0.03817106178160647,Index-PCR unterstes Dezil (Sorglosigkeit),489,-0.036476284699121765,-0.0281460850650562,0.02834804780676735,1.7143251505834938e-22,3.186591439087839e-27,True,Index,30,fwd_mdd
Index-PCR oberstes Dezil (Angst),489,-0.0036912382734388253,0.0026661728578984,0.06248046829411176,Index-PCR unterstes Dezil (Sorglosigkeit),489,0.03293390282281161,0.0337806418038835,0.04774758100612045,1.3096890479565361e-23,2.263464339738872e-17,True,Index,60,fwd_return
Index-PCR oberstes Dezil (Angst),489,-0.08730287106392952,-0.0942514287897088,0.04273026523475812,Index-PCR unterstes Dezil (Sorglosigkeit),489,-0.05090006396424336,-0.0406080877452873,0.031259412877626486,1.3160634142928068e-46,1.7038217777122582e-46,True,Index,60,fwd_mdd
Index-PCR oberstes Dezil (Angst),489,-0.018480908100608127,-0.0135295022010588,0.07649663709895506,Index-PCR unterstes Dezil (Sorglosigkeit),487,0.048576760040412635,0.0517374409142563,0.05712001486884909,2.4569513832363442e-48,8.491080352876686e-54,True,Index,90,fwd_return
Index-PCR oberstes Dezil (Angst),489,-0.11169172571035722,-0.1009040994457135,0.04951288017520622,Index-PCR unterstes Dezil (Sorglosigkeit),487,-0.06111880542552899,-0.057555936154791,0.03139129778593471,1.944192664586892e-67,6.556346818797572e-76,True,Index,90,fwd_mdd
