Date,fwd_return_30d,fwd_return_60d,fwd_return_90d,fwd_mdd_30d,fwd_mdd_60d,fwd_mdd_90d,reihe
2015-06-01,-0.001316470061318,-0.1156018986210534,-0.0548839224171717,-0.0364936913863365,-0.1224792040319199,-0.1224792040319199,Index
2015-06-02,-0.0010429442598833,-0.0801526735225708,-0.0455868598281525,-0.0364936913863365,-0.1224792040319199,-0.1224792040319199,Index
2015-06-03,0.0048342629963329,-0.0597946284144631,-0.0469142698699226,-0.0364936913863365,-0.1224792040319199,-0.1224792040319199,Index
2015-06-04,0.0146956844968542,-0.0510392435909069,-0.0373979519744807,-0.0364936913863365,-0.1224792040319199,-0.1224792040319199,Index
2019-11-22,0.0458992595457932,0.0731314308571879,-0.1998656488338701,-0.0191620240440935,-0.0312648572486948,-0.3392496000265327,Index
2019-11-25,0.0450147634793149,0.029438609145387,-0.1499725485530668,-0.0191620240440935,-0.047328090718813,-0.3392496000265327,Index
