kw_pvalue,kw_signifikant_5pct,mean_Q1 (niedrigste PCR),n_Q1 (niedrigste PCR),mean_Q2,n_Q2,mean_Q3,n_Q3,mean_Q4 (höchste PCR),n_Q4 (höchste PCR),q1_vs_q4_t_pvalue,q1_vs_q4_u_pvalue,q1_vs_q4_signifikant_5pct,reihe,horizont_tage,zielgröße
1.2230141544023198e-07,True,0.010732884361989745,1217,0.009999748124106311,1197,0.008818296921121486,1221,0.01735786506547167,1221,0.003788088228133473,1.7396544557022633e-06,True,Total,30,fwd_return
3.4478361259622606e-18,True,-0.04804930951195763,1217,-0.045187290424769384,1197,-0.051019376825782434,1221,-0.0612132550579091,1221,3.173991366109051e-11,5.269326290816257e-11,True,Total,30,fwd_mdd
5.153434709768617e-06,True,0.0271617657706185,1194,0.02412061414138418,1191,0.012753606849128983,1221,0.030591953129067352,1221,0.24803252113579063,0.17008402358604902,False,Total,60,fwd_return
8.441481493581784e-13,True,-0.07278041032884601,1194,-0.06602449375950421,1191,-0.08015189826718012,1221,-0.08352450685559255,1221,2.8140832188098446e-05,1.467399247116408e-07,True,Total,60,fwd_mdd
3.4618771489172126e-07,True,0.045829034500732196,1175,0.036601004402115,1189,0.022456240825852382,1212,0.036784194842955364,1221,0.020968447813662527,0.3386160722764572,False,Total,90,fwd_return
9.884307405276923e-07,True,-0.08715565419723909,1175,-0.08468656001951658,1189,-0.09816689664623629,1212,-0.1035465008991781,1221,4.4788785605750344e-08,5.0203350511711026e-06,True,Total,90,fwd_mdd
1.0848222377140584e-25,True,0.0041822917701950825,1222,0.00169130908249537,1199,0.01810366800365963,1214,0.022830646575916366,1221,4.539728012453399e-17,6.290357590595547e-18,True,Equity,30,fwd_return
5.873000651762135e-26,True,-0.054430172546515256,1222,-0.0569343915128521,1199,-0.04383047770454415,1214,-0.05046112500853467,1221,0.023318387542054505,2.5531569158044015e-07,True,Equity,30,fwd_mdd
6.231729455344035e-35,True,0.01351984180103236,1199,0.007559870978084907,1193,0.026404113219864342,1214,0.04651917990227386,1221,1.2327444744387133e-30,4.244886327576002e-22,True,Equity,60,fwd_return
2.1903757070578537e-41,True,-0.0837154340971428,1199,-0.08646536585019989,1193,-0.06700313563253497,1214,-0.06594109668751594,1221,2.723429712118384e-14,6.189034435162521e-23,True,Equity,60,fwd_mdd
1.557203877418417e-57,True,0.02699676737899325,1182,0.0082534415503343,1189,0.03535251047988685,1205,0.06975829597303482,1221,1.107919007666023e-35,3.960927520793552e-27,True,Equity,90,fwd_return
3.6243682479456404e-65,True,-0.10122383437792264,1182,-0.11404095007902375,1189,-0.08486782459250489,1205,-0.07453053183084664,1221,3.476586517959754e-26,8.361904600260363e-37,True,Equity,90,fwd_mdd
9.691770291545308e-05,True,0.01385935696700899,1204,0.01748739152113678,1210,0.011471043286849732,1221,0.0042097945754538645,1221,1.5852963266331266e-05,0.13030816708001405,False,Index,30,fwd_return
2.4644492106471314e-71,True,-0.03878688631642695,1204,-0.04372184072581631,1210,-0.058803453913822294,1221,-0.06404535971539392,1221,1.0151001116625516e-43,3.939881141334031e-55,True,Index,30,fwd_mdd
4.003128991420656e-14,True,0.028740126603955887,1188,0.03239330827924568,1197,0.030160565294934983,1221,0.00355415058559583,1221,8.789216509148455e-15,1.1034294814159582e-05,True,Index,60,fwd_return
1.558964274506869e-92,True,-0.05705905032594016,1188,-0.06563317619715878,1197,-0.08108106095128943,1221,-0.09830862697655753,1221,5.026425217130271e-62,1.2190861653611468e-79,True,Index,60,fwd_mdd
2.0862387204298007e-42,True,0.042394871450169964,1172,0.05242112848484929,1183,0.04939078807450072,1221,-0.002054841129799039,1221,1.223994670586045e-27,2.6233432673658278e-21,True,Index,90,fwd_return
5.0720751054587805e-101,True,-0.06983761118122216,1172,-0.07928954182559565,1183,-0.0974794707601289,1221,-0.12599273365758115,1221,9.932443904059201e-78,9.881751271442283e-89,True,Index,90,fwd_mdd
