label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,reihe,horizont_tage,zielgröße,n_bestätigt,n_verpufft
Total Close-bestätigtes Hoch,208,0.018862803666526137,0.023890739500216647,0.06164586058417121,Total verpuffter Intraday-Spike,667,0.012872987314589664,0.0189717634620065,0.0510443864854355,0.20437774705879855,0.0705231931221226,False,Total,30,fwd_return,208,667
Total Close-bestätigtes Hoch,208,-0.05609182331838637,-0.0421314293064349,0.051296192797012724,Total verpuffter Intraday-Spike,667,-0.049321627171343516,-0.0324846143232527,0.04786411373196174,0.0923527538388715,0.004869076926677878,False,Total,30,fwd_mdd,208,667
Total Close-bestätigtes Hoch,208,0.03010950781301584,0.039202359978363896,0.07668215582296188,Total verpuffter Intraday-Spike,667,0.02602908314742013,0.0340822672286074,0.06763549432596438,0.4916740516461293,0.3358882501886521,False,Total,60,fwd_return,208,667
Total Close-bestätigtes Hoch,208,-0.08173568815275487,-0.0712444360287855,0.060718179847508214,Total verpuffter Intraday-Spike,667,-0.06953481149621564,-0.0494514814987349,0.06083864018301771,0.011880344338807641,0.0003681147376709857,True,Total,60,fwd_mdd,208,667
Total Close-bestätigtes Hoch,208,0.03486096230388134,0.04262779304967995,0.10750785490294308,Total verpuffter Intraday-Spike,666,0.03867929650028363,0.04766820917424705,0.0856450263741984,0.6401671170818918,0.7672899821591673,False,Total,90,fwd_return,208,667
Total Close-bestätigtes Hoch,208,-0.1039075142591356,-0.0860646760480337,0.07764074494508938,Total verpuffter Intraday-Spike,666,-0.08574962122576549,-0.0641320647325952,0.07093227238363789,0.002872990130980041,0.0002648960708960604,True,Total,90,fwd_mdd,208,667
Equity Close-bestätigtes Hoch,265,0.02571913020596155,0.0318303004647058,0.05902759276139045,Equity verpuffter Intraday-Spike,587,0.017940231976517153,0.023770159619745,0.049143893328272674,0.061839863810979924,0.007871444243779164,False,Equity,30,fwd_return,265,587
Equity Close-bestätigtes Hoch,265,-0.05047743633399669,-0.0394420642813511,0.044876784414375995,Equity verpuffter Intraday-Spike,587,-0.045965045898355025,-0.0302494879479732,0.04712595669684393,0.18164799339698084,0.00043028601759290504,False,Equity,30,fwd_mdd,265,587
Equity Close-bestätigtes Hoch,265,0.040884240792361234,0.0458234589634856,0.07301854302892867,Equity verpuffter Intraday-Spike,587,0.0365556823691175,0.0404335179443069,0.05928434492851443,0.39738162394614485,0.3135792406019068,False,Equity,60,fwd_return,265,587
Equity Close-bestätigtes Hoch,265,-0.07093217929002017,-0.0559572235491679,0.05619837751022704,Equity verpuffter Intraday-Spike,587,-0.06335555683159354,-0.0450459225442897,0.05637005040606264,0.06935063222761002,0.003149712345430385,False,Equity,60,fwd_mdd,265,587
Equity Close-bestätigtes Hoch,265,0.06290692705940405,0.0633526194431539,0.08226593034522947,Equity verpuffter Intraday-Spike,584,0.04955228129839742,0.0555599775962419,0.07652474795027658,0.025593890354280682,0.043936188657085117,True,Equity,90,fwd_return,265,587
Equity Close-bestätigtes Hoch,265,-0.08256463128169438,-0.0585920099531169,0.0631512243217315,Equity verpuffter Intraday-Spike,584,-0.08108946110504694,-0.057612606689676,0.06524905266692428,0.755081801013613,0.29086978907565064,False,Equity,90,fwd_mdd,265,587
Index Close-bestätigtes Hoch,79,0.000500695142285899,0.0128448986028038,0.059534069351162566,Index verpuffter Intraday-Spike,883,0.0054172238750614075,0.01185953254175,0.06054240268580653,0.4842773114605363,0.6221447428794566,False,Index,30,fwd_return,79,883
Index Close-bestätigtes Hoch,79,-0.05858179764291948,-0.051919109857049,0.04665980533635798,Index verpuffter Intraday-Spike,883,-0.05718778057780401,-0.0422179950714711,0.051898115195167,0.8016046187171026,0.30230708859508204,False,Index,30,fwd_mdd,79,883
Index Close-bestätigtes Hoch,79,-0.0031382848288220894,0.0021137371381221,0.08404981808632633,Index verpuffter Intraday-Spike,883,0.014019829809032366,0.0271832288649529,0.08198254703062782,0.08488717548400103,0.17021671240185443,False,Index,60,fwd_return,79,883
Index Close-bestätigtes Hoch,79,-0.09025806097112285,-0.0739517415386521,0.06666031686967534,Index verpuffter Intraday-Spike,883,-0.08311920174616666,-0.0612255699829666,0.06915478328102877,0.36562969835528447,0.06519501502447074,False,Index,60,fwd_mdd,79,883
Index Close-bestätigtes Hoch,79,-0.00929497006302044,0.0051310544110796,0.10657369073188135,Index verpuffter Intraday-Spike,883,0.019639731397865415,0.0336870712415915,0.10053287337837431,0.02244204052177429,0.012170029101960642,True,Index,90,fwd_return,79,883
Index Close-bestätigtes Hoch,79,-0.11968760230678183,-0.0942514287897088,0.08671005206447356,Index verpuffter Intraday-Spike,883,-0.1033308822833286,-0.079665702212093,0.07935535628177438,0.10934326560495876,0.02265737761886349,False,Index,90,fwd_mdd,79,883
