label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,vergleich,horizont_tage,zielgröße
Grün,693,0.020701046800003346,0.0285764532358396,0.03889009351083736,Gelb,3936,0.010242246952102352,0.016157228419733702,0.058129130395216444,2.587429499092401e-09,2.1537297473783147e-07,True,Grün vs. Gelb,30,fwd_return
Grün,693,-0.036571152149787636,-0.0291326699889468,0.03047073540330951,Gelb,3936,-0.05353137072966819,-0.039665424465642946,0.04843180984940557,1.4837393585111354e-32,3.5818465871928514e-25,True,Grün vs. Gelb,30,fwd_mdd
Grün,693,0.041002731906535916,0.043548558102394,0.03822733592564772,Gelb,3907,0.019511775739450468,0.0313628626617188,0.08099633343212019,1.4582478086798071e-27,1.3743441389230815e-10,True,Grün vs. Gelb,60,fwd_return
Grün,693,-0.050865543527860574,-0.0422564982631789,0.03659717066623572,Gelb,3907,-0.07970670756339054,-0.0593061530384781,0.0653173815981732,3.9575634228953727e-57,2.96963688484625e-40,True,Grün vs. Gelb,60,fwd_mdd
Grün,693,0.06191273286912137,0.0610837037724745,0.04441456149828975,Gelb,3877,0.029432283465182858,0.0417511142761892,0.09756930526238652,2.965128030627894e-43,6.052593399556836e-18,True,Grün vs. Gelb,90,fwd_return
Grün,693,-0.059417069634418264,-0.0533662794317895,0.036703004495428425,Gelb,3877,-0.09928589817989665,-0.0752369251843084,0.07632330701842688,4.4501439303517025e-92,1.3828002741878416e-57,True,Grün vs. Gelb,90,fwd_mdd
Gelb,3936,0.010242246952102352,0.016157228419733702,0.058129130395216444,Rot,227,0.010279308911232802,0.0219062846877398,0.06335774667638894,0.9931396642998603,0.42426195674323386,False,Gelb vs. Rot,30,fwd_return
Gelb,3936,-0.05353137072966819,-0.039665424465642946,0.04843180984940557,Rot,227,-0.05972667935115384,-0.0544268626803496,0.03701042469653298,0.016792868230130834,6.889351849599671e-09,True,Gelb vs. Rot,30,fwd_mdd
Gelb,3907,0.019511775739450468,0.0313628626617188,0.08099633343212019,Rot,227,0.04156972458423978,0.0524463475581946,0.07650072410596308,3.547009688671433e-05,1.4160125126117124e-08,True,Gelb vs. Rot,60,fwd_return
Gelb,3907,-0.07970670756339054,-0.0593061530384781,0.0653173815981732,Rot,227,-0.08246671603587162,-0.070893369898995,0.053733684086828874,0.4583404362909857,4.2762100446300984e-05,False,Gelb vs. Rot,60,fwd_mdd
Gelb,3877,0.029432283465182858,0.0417511142761892,0.09756930526238652,Rot,227,0.05499422327683526,0.0781323436445811,0.11385791521690387,0.0010652958243596857,6.248750356543514e-08,True,Gelb vs. Rot,90,fwd_return
Gelb,3877,-0.09928589817989665,-0.0752369251843084,0.07632330701842688,Rot,227,-0.09868419990301652,-0.0812793891846527,0.06543445950808689,0.894030806389289,0.02897953285379991,False,Gelb vs. Rot,90,fwd_mdd
Grün,693,0.020701046800003346,0.0285764532358396,0.03889009351083736,Rot,227,0.010279308911232802,0.0219062846877398,0.06335774667638894,0.020071023197039486,0.11463799668208309,False,Grün vs. Rot,30,fwd_return
Grün,693,-0.036571152149787636,-0.0291326699889468,0.03047073540330951,Rot,227,-0.05972667935115384,-0.0544268626803496,0.03701042469653298,5.37203927536026e-16,2.70763800262658e-28,True,Grün vs. Rot,30,fwd_mdd
Grün,693,0.041002731906535916,0.043548558102394,0.03822733592564772,Rot,227,0.04156972458423978,0.0524463475581946,0.07650072410596308,0.9145829023204061,0.001308632581420843,False,Grün vs. Rot,60,fwd_return
Grün,693,-0.050865543527860574,-0.0422564982631789,0.03659717066623572,Rot,227,-0.08246671603587162,-0.070893369898995,0.053733684086828874,4.975970535997725e-15,4.767672662986824e-38,True,Grün vs. Rot,60,fwd_mdd
Grün,693,0.06191273286912137,0.0610837037724745,0.04441456149828975,Rot,227,0.05499422327683526,0.0781323436445811,0.11385791521690387,0.3724468848366315,0.03964420305125305,False,Grün vs. Rot,90,fwd_return
Grün,693,-0.059417069634418264,-0.0533662794317895,0.036703004495428425,Rot,227,-0.09868419990301652,-0.0812793891846527,0.06543445950808689,5.882344988854161e-16,3.8748723920808115e-40,True,Grün vs. Rot,90,fwd_mdd
