label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,reihe,variante,horizont_tage,zielgröße,n_events
Total_Thrust,488,0.01452530142500163,0.02496615491247115,0.06519302857620636,Basisrate (alle Tage),4865,0.011665213502405904,0.0181353644205584,0.05613869067369474,0.3501927984405298,0.03167636402429506,False,Total,Total_Thrust,30,fwd_return,488
Total_Thrust,488,-0.06103550700950436,-0.045846816089114,0.058930926749312565,Basisrate (alle Tage),4865,-0.05141393226498508,-0.0390382202572884,0.04617043853352461,0.0005020357439233023,6.157458673457513e-05,True,Total,Total_Thrust,30,fwd_mdd,488
Total_Thrust,488,0.031819474143393804,0.040596108481406254,0.07361959379159333,Basisrate (alle Tage),4836,0.02365880757550593,0.03474106572198235,0.0765187776560938,0.02039101225414981,0.058242553568842156,False,Total,Total_Thrust,60,fwd_return,488
Total_Thrust,488,-0.08275238813362831,-0.0598573994690785,0.06749413348557692,Basisrate (alle Tage),4836,-0.07566406395363538,-0.0569034564695777,0.06226824553104345,0.026377740196002593,0.00936327457668636,True,Total,Total_Thrust,60,fwd_mdd,488
Total_Thrust,488,0.04481356834621766,0.045345036994747304,0.08836481460951189,Basisrate (alle Tage),4806,0.035376146631666446,0.0477927840303842,0.09339483626978363,0.025723324901355413,0.21470721806382864,False,Total,Total_Thrust,90,fwd_return,488
Total_Thrust,488,-0.0978172356297187,-0.0747718059306452,0.07332212307367714,Basisrate (alle Tage),4806,-0.09343244080373692,-0.0720073499468654,0.07274941882266713,0.2083096422023741,0.15081965030714758,False,Total,Total_Thrust,90,fwd_mdd,488
Total_Collapse,489,0.011481033790518085,0.0212117827472952,0.058791863928532494,Basisrate (alle Tage),4865,0.011665213502405904,0.0181353644205584,0.05613869067369474,0.9471588193438384,0.9389496383308129,False,Total,Total_Collapse,30,fwd_return,489
Total_Collapse,489,-0.05419817260195256,-0.036646969787955,0.04985094505946559,Basisrate (alle Tage),4865,-0.05141393226498508,-0.0390382202572884,0.04617043853352461,0.23649531946500213,0.9819537224052844,False,Total,Total_Collapse,30,fwd_mdd,489
Total_Collapse,489,0.016965477593160003,0.033869602032176,0.08869849608811177,Basisrate (alle Tage),4836,0.02365880757550593,0.03474106572198235,0.0765187776560938,0.10812015115411513,0.15309833492434788,False,Total,Total_Collapse,60,fwd_return,489
Total_Collapse,489,-0.08169331307828073,-0.0562159838711667,0.07007883193511387,Basisrate (alle Tage),4836,-0.07566406395363538,-0.0569034564695777,0.06226824553104345,0.06764620157124367,0.6172984151824168,False,Total,Total_Collapse,60,fwd_mdd,489
Total_Collapse,483,0.024113637883030635,0.0305601347581521,0.10218763052459533,Basisrate (alle Tage),4806,0.035376146631666446,0.0477927840303842,0.09339483626978363,0.020343169557341105,0.0004646046114430943,True,Total,Total_Collapse,90,fwd_return,489
Total_Collapse,483,-0.10120503069300238,-0.0740145951999571,0.07862031276194574,Basisrate (alle Tage),4806,-0.09343244080373692,-0.0720073499468654,0.07274941882266713,0.037526789490490486,0.043903180762537825,True,Total,Total_Collapse,90,fwd_mdd,489
Equity_Thrust,488,0.020787796249622327,0.031555012103257354,0.06884621355157751,Basisrate (alle Tage),4865,0.011665213502405904,0.0181353644205584,0.05613869067369474,0.004761953479643864,3.509574700488373e-08,True,Equity,Equity_Thrust,30,fwd_return,488
Equity_Thrust,488,-0.05622422616751784,-0.0394420642813511,0.0612240016903502,Basisrate (alle Tage),4865,-0.05141393226498508,-0.0390382202572884,0.04617043853352461,0.09195416391430937,0.7125511740171502,False,Equity,Equity_Thrust,30,fwd_mdd,488
Equity_Thrust,488,0.036643859662133065,0.04431328336621415,0.0731230017376246,Basisrate (alle Tage),4836,0.02365880757550593,0.03474106572198235,0.0765187776560938,0.0002157912116454256,7.939686412087602e-05,True,Equity,Equity_Thrust,60,fwd_return,488
Equity_Thrust,488,-0.08001058688680397,-0.05729189932131,0.07167895753387969,Basisrate (alle Tage),4836,-0.07566406395363538,-0.0569034564695777,0.06226824553104345,0.1971329049564914,0.944420690293373,False,Equity,Equity_Thrust,60,fwd_mdd,488
Equity_Thrust,488,0.051396214153835884,0.05803589606237855,0.08668994894764769,Basisrate (alle Tage),4806,0.035376146631666446,0.0477927840303842,0.09339483626978363,0.00012496750273424103,0.0001743322004296815,True,Equity,Equity_Thrust,90,fwd_return,488
Equity_Thrust,488,-0.09566550334853084,-0.0734559621776849,0.0755809739740864,Basisrate (alle Tage),4806,-0.09343244080373692,-0.0720073499468654,0.07274941882266713,0.5328810073814221,0.9836307496992668,False,Equity,Equity_Thrust,90,fwd_mdd,488
Equity_Collapse,488,0.013124761064304217,0.0223235440310859,0.05881031570940256,Basisrate (alle Tage),4865,0.011665213502405904,0.0181353644205584,0.05613869067369474,0.599932546945143,0.20572162999681387,False,Equity,Equity_Collapse,30,fwd_return,489
Equity_Collapse,488,-0.05069299165130105,-0.0328588608004802,0.04979555348889584,Basisrate (alle Tage),4865,-0.05141393226498508,-0.0390382202572884,0.04617043853352461,0.7590522354527799,0.012248616375436647,False,Equity,Equity_Collapse,30,fwd_mdd,489
Equity_Collapse,488,0.0273137492100742,0.038518201200056196,0.08141138626998037,Basisrate (alle Tage),4836,0.02365880757550593,0.03474106572198235,0.0765187776560938,0.3423558416581021,0.12580930571944124,False,Equity,Equity_Collapse,60,fwd_return,489
Equity_Collapse,488,-0.07395250013951772,-0.0544268626803496,0.06514243379442466,Basisrate (alle Tage),4836,-0.07566406395363538,-0.0569034564695777,0.06226824553104345,0.5788510422469054,0.018556840164537965,False,Equity,Equity_Collapse,60,fwd_mdd,489
Equity_Collapse,481,0.04506141269933473,0.0493313309534753,0.08793055342300367,Basisrate (alle Tage),4806,0.035376146631666446,0.0477927840303842,0.09339483626978363,0.022377600690045345,0.15704360453091448,False,Equity,Equity_Collapse,90,fwd_return,489
Equity_Collapse,481,-0.088460883248039,-0.0641320647325952,0.0705639939458516,Basisrate (alle Tage),4806,-0.09343244080373692,-0.0720073499468654,0.07274941882266713,0.14236107288531025,0.025822656169655938,False,Equity,Equity_Collapse,90,fwd_mdd,489
Index_Thrust,488,0.005491866134953016,0.01380048369718315,0.06170038334434133,Basisrate (alle Tage),4865,0.011665213502405904,0.0181353644205584,0.05613869067369474,0.034113384481386164,0.07596361918805575,False,Index,Index_Thrust,30,fwd_return,488
Index_Thrust,488,-0.059108115748124176,-0.0451489665529142,0.052880043624411184,Basisrate (alle Tage),4865,-0.05141393226498508,-0.0390382202572884,0.04617043853352461,0.002045361665239558,1.5527717875316872e-05,True,Index,Index_Thrust,30,fwd_mdd,488
Index_Thrust,488,0.019513636104270246,0.0325279277740783,0.07770482775127072,Basisrate (alle Tage),4836,0.02365880757550593,0.03474106572198235,0.0765187776560938,0.2611811104443918,0.25802669327542427,False,Index,Index_Thrust,60,fwd_return,488
Index_Thrust,488,-0.0801556241849921,-0.06023300071912355,0.06543323148856908,Basisrate (alle Tage),4836,-0.07566406395363538,-0.0569034564695777,0.06226824553104345,0.1471789930982822,0.02769387390197429,False,Index,Index_Thrust,60,fwd_mdd,488
Index_Thrust,488,0.026290745116329842,0.030027907782562202,0.09814421241169617,Basisrate (alle Tage),4806,0.035376146631666446,0.0477927840303842,0.09339483626978363,0.05082816281238969,0.0026546718520519676,False,Index,Index_Thrust,90,fwd_return,488
Index_Thrust,488,-0.09713367894321427,-0.0772786339769819,0.07428593442243343,Basisrate (alle Tage),4806,-0.09343244080373692,-0.0720073499468654,0.07274941882266713,0.29383782888369675,0.05248886598367328,False,Index,Index_Thrust,90,fwd_mdd,488
Index_Collapse,488,0.0085488303931096,0.011393551739192799,0.05724861753023298,Basisrate (alle Tage),4865,0.011665213502405904,0.0181353644205584,0.05613869067369474,0.25126540772603595,0.0783596783476057,False,Index,Index_Collapse,30,fwd_return,488
Index_Collapse,488,-0.053909567918864545,-0.0372955244342469,0.047700787512591054,Basisrate (alle Tage),4865,-0.05141393226498508,-0.0390382202572884,0.04617043853352461,0.26961648760666573,0.38733065159805724,False,Index,Index_Collapse,30,fwd_mdd,488
Index_Collapse,488,0.013323566521896769,0.0285194039768614,0.07989152069528045,Basisrate (alle Tage),4836,0.02365880757550593,0.03474106572198235,0.0765187776560938,0.006447003753245793,0.0002462849316584426,True,Index,Index_Collapse,60,fwd_return,488
Index_Collapse,488,-0.0822805618318945,-0.0586156249626287,0.06747849177289605,Basisrate (alle Tage),4836,-0.07566406395363538,-0.0569034564695777,0.06226824553104345,0.03809730901680328,0.023516016434007803,True,Index,Index_Collapse,60,fwd_mdd,488
Index_Collapse,484,0.011512138602213303,0.0211535170274832,0.099615952453192,Basisrate (alle Tage),4806,0.035376146631666446,0.0477927840303842,0.09339483626978363,5.905761307852114e-07,9.143868831973642e-10,True,Index,Index_Collapse,90,fwd_return,488
Index_Collapse,484,-0.10512891394110886,-0.08311358379520285,0.07814786958776136,Basisrate (alle Tage),4806,-0.09343244080373692,-0.0720073499468654,0.07274941882266713,0.001673394004879714,4.611820458587579e-05,True,Index,Index_Collapse,90,fwd_mdd,488
