label_a,n_a,mean_a,median_a,std_a,label_b,n_b,mean_b,median_b,std_b,t_pvalue,u_pvalue,signifikant_5pct,reihe,horizont_tage,zielgröße,n_events
P5-Signal Total,74,0.02196216642443628,0.028947699050578653,0.05709395276176029,Basisrate (alle Tage),4865,0.011665213502405904,0.0181353644205584,0.05613869067369474,0.12772231673219783,0.0585625959742831,False,Total,30,fwd_return,75
P5-Signal Total,74,-0.048588316842653655,-0.0283107732731762,0.05484122748087203,Basisrate (alle Tage),4865,-0.05141393226498508,-0.0390382202572884,0.04617043853352461,0.6605951287554322,0.01108679191723005,False,Total,30,fwd_mdd,75
P5-Signal Total,74,0.03720063409766825,0.0423385455025766,0.08958266784787848,Basisrate (alle Tage),4836,0.02365880757550593,0.03474106572198235,0.0765187776560938,0.19993782308401978,0.22579704902549058,False,Total,60,fwd_return,75
P5-Signal Total,74,-0.07865216075538979,-0.04973639261231965,0.06836711961508443,Basisrate (alle Tage),4836,-0.07566406395363538,-0.0569034564695777,0.06226824553104345,0.70974677376983,0.646926072506854,False,Total,60,fwd_mdd,75
P5-Signal Total,68,0.04114979985342443,0.0380019348419775,0.10240587653017205,Basisrate (alle Tage),4806,0.035376146631666446,0.0477927840303842,0.09339483626978363,0.6453933814364943,0.8501767544749795,False,Total,90,fwd_return,75
P5-Signal Total,68,-0.09993927946082906,-0.0872562189585416,0.0719892527876928,Basisrate (alle Tage),4806,-0.09343244080373692,-0.0720073499468654,0.07274941882266713,0.46180209981152537,0.4239104134017607,False,Total,90,fwd_mdd,75
P5-Signal Equity,21,0.01608799704724729,0.01920372969394,0.043158957426958286,Basisrate (alle Tage),4865,0.011665213502405904,0.0181353644205584,0.05613869067369474,0.6448412234143394,0.6018397877738122,False,Equity,30,fwd_return,21
P5-Signal Equity,21,-0.04003906806992678,-0.0364936913863365,0.02797495440249863,Basisrate (alle Tage),4865,-0.05141393226498508,-0.0390382202572884,0.04617043853352461,0.0784337336424661,0.3954329874585093,False,Equity,30,fwd_mdd,21
P5-Signal Equity,21,-0.012739157774105366,0.0128120081951894,0.0875856065698935,Basisrate (alle Tage),4836,0.02365880757550593,0.03474106572198235,0.0765187776560938,0.07168196326987811,0.044663502286943324,False,Equity,60,fwd_return,21
P5-Signal Equity,21,-0.10236046090367737,-0.1015953054895627,0.06866576037391323,Basisrate (alle Tage),4836,-0.07566406395363538,-0.0569034564695777,0.06226824553104345,0.09042428723273778,0.010947873553400293,False,Equity,60,fwd_mdd,21
P5-Signal Equity,19,-0.011959852830884365,0.0043884843117674,0.08122826495515335,Basisrate (alle Tage),4806,0.035376146631666446,0.0477927840303842,0.09339483626978363,0.020693815881848394,0.004255326525116005,True,Equity,90,fwd_return,21
P5-Signal Equity,19,-0.11058246579674991,-0.1015953054895627,0.06876940267211379,Basisrate (alle Tage),4806,-0.09343244080373692,-0.0720073499468654,0.07274941882266713,0.292269253897165,0.057377235760297275,False,Equity,90,fwd_mdd,21
P5-Signal Index,37,0.011538598878784981,0.001825167817014,0.03978286787556175,Basisrate (alle Tage),4865,0.011665213502405904,0.0181353644205584,0.05613869067369474,0.9847731143418536,0.38230158647632473,False,Index,30,fwd_return,37
P5-Signal Index,37,-0.04097548759137528,-0.0307484877178998,0.0342817247059354,Basisrate (alle Tage),4865,-0.05141393226498508,-0.0390382202572884,0.04617043853352461,0.07387665817304567,0.12739806484230337,False,Index,30,fwd_mdd,37
P5-Signal Index,37,-0.003219566268519955,-0.0063255193694522,0.059272545151021525,Basisrate (alle Tage),4836,0.02365880757550593,0.03474106572198235,0.0765187776560938,0.00938551523611718,0.0020611422242488176,True,Index,60,fwd_return,37
P5-Signal Index,37,-0.06651484295869707,-0.0533662794317895,0.04179634457789088,Basisrate (alle Tage),4836,-0.07566406395363538,-0.0569034564695777,0.06226824553104345,0.19477652555841304,0.732042243627881,False,Index,60,fwd_mdd,37
P5-Signal Index,37,0.012574641772518602,0.0083881697718082,0.05618420532205462,Basisrate (alle Tage),4806,0.035376146631666446,0.0477927840303842,0.09339483626978363,0.019395797143015932,0.007051337593909876,True,Index,90,fwd_return,37
P5-Signal Index,37,-0.08099802405998231,-0.0612255699829666,0.044500980404597386,Basisrate (alle Tage),4806,-0.09343244080373692,-0.0720073499468654,0.07274941882266713,0.1007982476351155,0.829442362090297,False,Index,90,fwd_mdd,37
