Date,Adj Close,Close,High,Low,Open,Volume,SMA20_d,SMA100_d,SMA200_d,SMA20_w,SMA100_w,SMA200_w,SMA20_m,SMA50_m,SMA75_m,fwd_return_30d,fwd_mdd_30d,fwd_return_60d,fwd_mdd_60d,fwd_return_90d,fwd_mdd_90d
2007-01-03,1759.3699951171875,1759.3699951171875,1793.050048828125,1731.7099609375,1769.219970703125,2435280000,,,,,,,,,,0.03639941526809687,-0.03894172603622226,0.007383319182676873,-0.07225106257979641,0.07315684665233069,-0.07225106257979641
2007-01-04,1792.9100341796875,1792.9100341796875,1799.0699462890625,1757.0,1763.1500244140625,2104210000,,,,,,,,,,0.015940541081172377,-0.03894172603622226,-0.010920836936449185,-0.07225106257979641,0.04399551755473463,-0.07225106257979641
2007-01-05,1785.300048828125,1785.300048828125,1787.7900390625,1770.2900390625,1787.7900390625,2060360000,,,,,,,,,,0.027115840914893496,-0.03894172603622226,0.006167036052484365,-0.07225106257979641,0.059524950739061167,-0.07225106257979641
2007-01-08,1787.1400146484375,1787.1400146484375,1795.449951171875,1776.989990234375,1786.3900146484375,1905620000,,,,,,,,,,0.02909116790415678,-0.03894172603622226,0.008169463761242834,-0.07225106257979641,0.05457884567689453,-0.07225106257979641
2007-01-09,1795.6300048828125,1795.6300048828125,1802.43994140625,1776.72998046875,1791.75,2144160000,,,,,,,,,,0.02824076274043419,-0.03894172603622226,0.009640035239089961,-0.07225106257979641,0.05641476726979522,-0.07225106257979641
2007-01-10,1816.1500244140625,1816.1500244140625,1817.219970703125,1784.280029296875,1790.510009765625,2274210000,,,,,,,,,,0.013005530820510147,-0.03894172603622226,-0.00438294353484403,-0.07225106257979641,0.05231396552510992,-0.07225106257979641
2007-01-11,1834.8599853515625,1834.8599853515625,1840.8800048828125,1818.0899658203125,1820.75,2436270000,,,,,,,,,,-0.002327163688422673,-0.03894172603622226,-0.009771825525526134,-0.07225106257979641,0.04446658953363114,-0.07225106257979641
2007-01-12,1844.81005859375,1844.81005859375,1845.6800537109375,1830.3399658203125,1832.1500244140625,2175810000,,,,,,,,,,-0.04799412202359288,-0.04878296952698269,-0.02532515071445951,-0.07225106257979641,0.03230683576788884,-0.07225106257979641
2007-01-16,1842.43994140625,1842.43994140625,1847.5400390625,1836.8299560546875,1844.72998046875,2139550000,,,,,,,,,,-0.04387658126788707,-0.04878296952698269,-0.015712833032581197,-0.07225106257979641,0.01745513297716572,-0.07225106257979641
2007-01-17,1827.6800537109375,1827.6800537109375,1843.0699462890625,1824.739990234375,1835.050048828125,2273880000,,,,,,,,,,-0.04061438564607911,-0.05031035257213168,-0.005925587524474252,-0.07225106257979641,0.033687486036765746,-0.07225106257979641
2007-01-18,1793.6800537109375,1793.6800537109375,1824.3399658203125,1789.3900146484375,1821.989990234375,2456180000,,,,,,,,,,-0.037715770030503304,-0.06516131305752504,0.022456573090182674,-0.07225106257979641,0.05915769935225179,-0.07225106257979641
2007-01-19,1796.81005859375,1796.81005859375,1802.219970703125,1787.52001953125,1787.8199462890625,2037890000,,,,,,,,,,-0.04667723045425287,-0.07225106257979641,0.021204231022479814,-0.07225106257979641,0.0674917734798568,-0.07225106257979641
2007-01-22,1779.02001953125,1779.02001953125,1800.530029296875,1771.239990234375,1800.3299560546875,1900860000,,,,,,,,,,-0.020190916094793065,-0.07225106257979641,0.029999659661643197,-0.07225106257979641,0.08384949030214095,-0.07225106257979641
2007-01-23,1773.4000244140625,1773.4000244140625,1790.0699462890625,1771.43994140625,1776.8299560546875,2001100000,,,,,,,,,,-0.021033071114594737,-0.07225106257979641,0.03330886741618233,-0.07225106257979641,0.08732377535786306,-0.07225106257979641
2007-01-24,1802.6300048828125,1802.6300048828125,1803.4599609375,1781.8199462890625,1785.4200439453125,2202040000,,,,,,,,,,-0.031176642472190763,-0.07225106257979641,0.023998274547991416,-0.07225106257979641,0.07272705726123774,-0.07225106257979641
2007-01-25,1777.75,1777.75,1810.239990234375,1774.5799560546875,1806.75,2202280000,,,,,,,,,,-0.018568420624736293,-0.07225106257979641,0.040742541814618116,-0.07225106257979641,0.08696384507716926,-0.07225106257979641
2007-01-26,1772.969970703125,1772.969970703125,1784.8199462890625,1763.300048828125,1783.3800048828125,2067080000,,,,,,,,,,-0.009334578154896245,-0.07225106257979641,0.048449790934697035,-0.07225106257979641,0.08002391875060666,-0.07225106257979641
2007-01-29,1775.0799560546875,1775.0799560546875,1786.969970703125,1767.0899658203125,1771.050048828125,1915400000,,,,,,,,,,-0.02963245424890426,-0.07225106257979641,0.05985645865561606,-0.07225106257979641,0.06032972628942557,-0.07225106257979641
2007-01-30,1777.760009765625,1777.760009765625,1782.2099609375,1772.030029296875,1780.260009765625,1769600000,,,,,,,,,,-0.019468311336424682,-0.07225106257979641,0.06289371788612685,-0.07225106257979641,0.07228197242266754,-0.07225106257979641
2007-01-31,1792.280029296875,1792.280029296875,1798.489990234375,1764.6300048828125,1774.43994140625,2186710000,1796.3835144042969,,,,,,,,,-0.02645235867426743,-0.07225106257979641,0.05511417171546973,-0.07225106257979641,0.06119575615851347,-0.07225106257979641
2007-02-01,1791.449951171875,1791.449951171875,1806.81005859375,1785.5400390625,1801.5999755859375,2170040000,1797.9875122070312,,,,,,,,,-0.027474934854265887,-0.07225106257979641,0.04259122549207328,-0.07225106257979641,0.05538535570504366,-0.07225106257979641
2007-02-02,1798.1300048828125,1798.1300048828125,1800.3900146484375,1788.969970703125,1795.6800537109375,1876770000,1798.2485107421876,,,,,,,,,-0.022189732836732756,-0.07225106257979641,0.041876865757007664,-0.07225106257979641,0.06436686442030526,-0.07225106257979641
2007-02-05,1795.3900146484375,1795.3900146484375,1804.4000244140625,1789.719970703125,1796.47998046875,1875310000,1798.7530090332032,,,,,,,,,-0.015673482874943856,-0.07225106257979641,0.05254566698633756,-0.07225106257979641,0.07193424457100583,-0.07225106257979641
2007-02-06,1793.06005859375,1793.06005859375,1800.050048828125,1776.510009765625,1799.3299560546875,2113710000,1799.0490112304688,,,,,,,,,0.007411863829374754,-0.07225106257979641,0.05720943677432544,-0.07225106257979641,0.0832933480784066,-0.07225106257979641
2007-02-07,1810.949951171875,1810.949951171875,1816.77001953125,1796.1800537109375,1803.22998046875,2198410000,1799.815008544922,,,,,,,,,-0.0061845724475309005,-0.07225106257979641,0.046798642858770334,-0.07225106257979641,0.0736740647409806,-0.07225106257979641
2007-02-08,1810.5400390625,1810.5400390625,1814.47998046875,1800.6300048828125,1807.4100341796875,1995880000,1799.5345092773437,,,,,,,,,-0.009113303016785923,-0.07225106257979641,0.04717925040709425,-0.07225106257979641,0.07247006865721706,-0.07225106257979641
2007-02-09,1785.530029296875,1785.530029296875,1819.300048828125,1780.43994140625,1815.219970703125,2186590000,1797.0680114746094,,,,,,,,,0.009756162925951939,-0.07225106257979641,0.06401456423716523,-0.07225106257979641,0.07649827422622524,-0.07225106257979641
2007-02-12,1778.4200439453125,1778.4200439453125,1787.1099853515625,1774.25,1787.1099853515625,1840250000,1793.7485107421876,,,,,,,,,0.006472042307896331,-0.07225106257979641,0.07154101805246094,-0.07225106257979641,0.09159810298941906,-0.07225106257979641
2007-02-13,1783.8199462890625,1783.8199462890625,1789.97998046875,1778.6600341796875,1782.1600341796875,1821390000,1790.8175109863282,,,,,,,,,-0.0074446455507962694,-0.07225106257979641,0.051227146031701976,-0.07225106257979641,0.07742933663485663,-0.07225106257979641
2007-02-14,1814.97998046875,1814.97998046875,1818.550048828125,1792.2900390625,1792.739990234375,2173580000,1790.1825073242187,,,,,,,,,-0.023834979025196934,-0.07225106257979641,0.046176850155727145,-0.07225106257979641,0.053951032517737696,-0.07225106257979641
2007-02-15,1823.4100341796875,1823.4100341796875,1824.0899658203125,1813.0699462890625,1815.489990234375,1949670000,1791.6690063476562,,,,,,,,,-0.027997020895572322,-0.07225106257979641,0.03546647252278268,-0.07225106257979641,0.046742081523694745,-0.07225106257979641
2007-02-16,1821.489990234375,1821.489990234375,1823.3699951171875,1813.9000244140625,1818.56005859375,1887430000,1792.9030029296875,,,,,,,,,-0.026439911521825454,-0.07225106257979641,0.02761478190810851,-0.07225106257979641,0.06125208974934804,-0.07225106257979641
2007-02-20,1833.7099609375,1833.7099609375,1835.31005859375,1808.1099853515625,1817.8399658203125,2165590000,1795.6375,,,,,,,,,-0.02039575676658756,-0.07225106257979641,0.03155350987022021,-0.07225106257979641,0.05342179793675195,-0.07225106257979641
2007-02-21,1839.1300048828125,1839.1300048828125,1839.1300048828125,1824.530029296875,1827.030029296875,2012450000,1798.9239990234375,,,,,,,,,-0.020330272764387813,-0.07225106257979641,0.02476717181884447,-0.07225106257979641,0.05163853041980926,-0.07225106257979641
2007-02-22,1846.3399658203125,1846.3399658203125,1851.469970703125,1832.5999755859375,1845.469970703125,1850960000,1801.1094970703125,,,,,,,,,-0.0180898561653694,-0.07225106257979641,0.027400201927681334,-0.07225106257979641,0.05837496414101029,-0.07225106257979641
2007-02-23,1839.77001953125,1839.77001953125,1846.77001953125,1832.4000244140625,1845.4100341796875,2012220000,1804.210498046875,,,,,,,,,-0.01716523140922044,-0.06893800680441275,0.038803771064074066,-0.06893800680441275,0.06817696250566296,-0.06893800680441275
2007-02-26,1830.5899658203125,1830.5899658203125,1849.0899658203125,1819.760009765625,1848.47998046875,1912480000,1807.0914978027345,,,,,,,,,-0.007462027195835663,-0.06426891144972591,0.046902903957024344,-0.06426891144972591,0.08219759508296542,-0.06426891144972591
2007-02-27,1756.27001953125,1756.27001953125,1808.0799560546875,1750.699951171875,1801.8699951171875,3037380000,1806.1510009765625,,,,,,,,,0.02381179763019836,-0.0276226355892758,0.08434922477807616,-0.0276226355892758,0.1321209361214466,-0.0276226355892758
2007-02-28,1761.5999755859375,1761.5999755859375,1778.1700439453125,1746.2900390625,1754.8800048828125,2620450000,1805.342999267578,,,,,,,,,0.02945618492710178,-0.0276226355892758,0.06414623158836852,-0.0276226355892758,0.12920071454373971,-0.0276226355892758
2007-03-01,1753.449951171875,1753.449951171875,1768.9599609375,1717.949951171875,1729.030029296875,2710750000,1803.4014953613282,,,,,,,,,0.03615730484448143,-0.02310303167681016,0.07744734814778509,-0.02310303167681016,0.12457730163930458,-0.026663462346971034
2007-03-02,1726.030029296875,1726.030029296875,1752.8599853515625,1726.030029296875,1740.8699951171875,2352790000,1800.1304992675782,,,,,,,,,0.06253073805708453,-0.01982447311287039,0.10067032833513845,-0.021837238984689922,0.14950488831467967,-0.026663462346971034
2007-03-05,1712.93994140625,1712.93994140625,1739.050048828125,1710.969970703125,1726.030029296875,2291680000,1795.87099609375,,,,,,,,,0.07120511923687478,-0.01982447311287039,0.11975902347167322,-0.021837238984689922,0.17986041450916046,-0.026663462346971034
2007-03-06,1743.0999755859375,1743.0999755859375,1747.2099609375,1727.1199951171875,1730.3900146484375,2121430000,1793.256494140625,,,,,,,,,0.05122485245430952,-0.01982447311287039,0.10618436602185999,-0.021837238984689922,0.16583102670091154,-0.026663462346971034
2007-03-07,1736.0999755859375,1736.0999755859375,1746.8599853515625,1733.8199462890625,1740.7900390625,1959330000,1790.4084899902343,,,,,,,,,0.05550947322873068,-0.01982447311287039,0.11068488962729983,-0.021837238984689922,0.16814702381802005,-0.026663462346971034
2007-03-08,1746.4300537109375,1746.4300537109375,1757.52001953125,1741.469970703125,1753.5999755859375,1989910000,1787.1824951171875,,,,,,,,,0.0569504405436454,-0.01982447311287039,0.10724731079829075,-0.021837238984689922,0.16911640690009722,-0.026663462346971034
2007-03-09,1744.739990234375,1744.739990234375,1760.9599609375,1734.3499755859375,1759.5400390625,1875050000,1783.8924926757813,,,,,,,,,0.06043310984257233,-0.01982447311287039,0.10752890768919698,-0.021837238984689922,0.16807088269638593,-0.026663462346971034
2007-03-12,1756.4200439453125,1756.4200439453125,1758.489990234375,1742.050048828125,1742.97998046875,1637980000,1782.436993408203,,,,,,,,,0.05832884424488194,-0.01982447311287039,0.09020048033883499,-0.021837238984689922,0.16884910150700638,-0.026663462346971034
2007-03-13,1722.47998046875,1722.47998046875,1756.219970703125,1722.47998046875,1747.3199462890625,2235000000,1779.639990234375,,,,,,,,,0.09222166723976,-0.01982447311287039,0.09270938721337418,-0.026663462346971034,0.18194697643381308,-0.026663462346971034
2007-03-14,1743.1500244140625,1743.1500244140625,1743.1500244140625,1711.280029296875,1724.6500244140625,2255630000,1777.606494140625,,,,,,,,,0.08399731510442843,-0.01982447311287039,0.09357197204319223,-0.026663462346971034,0.16818972981925273,-0.026663462346971034
2007-03-15,1744.8699951171875,1744.8699951171875,1749.5799560546875,1737.0400390625,1743.47998046875,1690430000,1774.1009948730468,,,,,,,,,0.08378278260595806,-0.01982447311287039,0.09002961037779911,-0.026663462346971034,0.14653243761794732,-0.026663462346971034
2007-03-16,1742.22998046875,1742.22998046875,1750.3900146484375,1733.5799560546875,1743.5799560546875,2031650000,1770.0419921875,,,,,,,,,0.07204560875337407,-0.01982447311287039,0.0852011876392027,-0.026663462346971034,0.15434818433519149,-0.026663462346971034
2007-03-19,1758.22998046875,1758.22998046875,1764.3699951171875,1747.050048828125,1752.18994140625,1650970000,1766.8789916992187,,,,,,,,,0.06552048055253534,-0.01982447311287039,0.08852085129781684,-0.026663462346971034,0.12988630478039243,-0.032338206695717076
2007-03-20,1767.25,1767.25,1772.739990234375,1757.93994140625,1759.489990234375,1761940000,1763.5559936523437,,,,,,,,,0.06930540697057586,-0.01982447311287039,0.08900270989531767,-0.026663462346971034,0.10691183556726558,-0.047150765122373595
2007-03-21,1806.3499755859375,1806.3499755859375,1806.3499755859375,1763.5400390625,1774.510009765625,2158740000,1761.9169921875,,,,,,,,,0.04943119565384135,-0.01982447311287039,0.07532319895518325,-0.026663462346971034,0.0927727629695021,-0.047150765122373595
2007-03-22,1799.75,1799.75,1807.4300537109375,1793.3800048828125,1806.760009765625,1887290000,1759.5874938964844,,,,,,,,,0.05331293300284767,-0.0179760464722325,0.08035560223208082,-0.026663462346971034,0.07351579863522706,-0.05890429676513875
2007-03-23,1794.0400390625,1794.0400390625,1804.6300048828125,1792.739990234375,1800.1800537109375,1634470000,1757.3009948730469,,,,,,,,,0.05681028274500477,-0.0179760464722325,0.08233370366398729,-0.026663462346971034,0.0841898250337354,-0.05890429676513875
2007-03-26,1802.949951171875,1802.949951171875,1802.949951171875,1774.9599609375,1796.010009765625,1817870000,1755.918994140625,,,,,,,,,0.05373416207135584,-0.0179760464722325,0.06609725570466041,-0.026663462346971034,0.09076792414991552,-0.05890429676513875
2007-03-27,1789.9300537109375,1789.9300537109375,1798.8900146484375,1787.97998046875,1798.1400146484375,1708060000,1757.6019958496095,,,,,,,,,0.06465055461983593,-0.012326450705687275,0.08457866398983516,-0.026663462346971034,0.07186314605765332,-0.06548007164188763
2007-03-28,1770.5400390625,1770.5400390625,1789.6500244140625,1770.5400390625,1781.6600341796875,1868310000,1758.0489990234375,,,,,,,,,0.05911185841625599,-0.01597883811407086,0.0855105781306793,-0.026663462346971034,0.10382705389256563,-0.06548007164188763
2007-03-29,1771.719970703125,1771.719970703125,1783.47998046875,1753.4300537109375,1783.43994140625,1926070000,1758.9625,,,,,,,,,0.0717213049808012,-0.01597883811407086,0.07968530921673178,-0.026663462346971034,0.10719529445160614,-0.06548007164188763
2007-03-30,1772.3599853515625,1772.3599853515625,1783.3299560546875,1758.0999755859375,1772.8599853515625,1998550000,1761.2789978027345,,,,,,,,,0.06529145978217898,-0.01597883811407086,0.07689184501073165,-0.026663462346971034,0.12129588923556467,-0.06548007164188763
2007-04-02,1773.3299560546875,1773.3299560546875,1779.300048828125,1761.6500244140625,1775.9200439453125,1784170000,1764.2984985351563,,,,,,,,,0.05552270894180733,-0.017768207655009194,0.09007353763674675,-0.026663462346971034,0.09215998024109262,-0.06548007164188763
