Date,Adj Close,Close,High,Low,Open,Volume,SMA20_d,SMA100_d,SMA200_d,SMA20_w,SMA100_w,SMA200_w,fwd_return_30d,fwd_mdd_30d,fwd_return_60d,fwd_mdd_60d,fwd_return_90d,fwd_mdd_90d
2007-01-03,1416.5999755859375,1416.5999755859375,1429.4200439453125,1407.8599853515625,1418.030029296875,3429160000,,,,,,,0.028384924255826505,-0.013547394818159253,0.0030072072843732034,-0.05861562496262873,0.061097028321157376,-0.05861562496262873
2007-01-04,1418.3399658203125,1418.3399658203125,1421.8399658203125,1408.4300537109375,1416.5999755859375,3004460000,,,,,,,0.02622789608884246,-0.013547394818159253,0.00437841642868797,-0.05861562496262873,0.058413340653501455,-0.05861562496262873
2007-01-05,1409.7099609375,1409.7099609375,1418.3399658203125,1405.75,1418.3399658203125,2919400000,,,,,,,0.03544707362371602,-0.013547394818159253,0.019904845231489388,-0.05861562496262873,0.07407910606057455,-0.05861562496262873
2007-01-08,1412.8399658203125,1412.8399658203125,1414.97998046875,1403.969970703125,1409.260009765625,2763340000,,,,,,,0.031702131979607806,-0.013547394818159253,0.01877780211396507,-0.05861562496262873,0.07071574742839215,-0.05861562496262873
2007-01-09,1412.1099853515625,1412.1099853515625,1415.6099853515625,1405.4200439453125,1412.8399658203125,3038380000,,,,,,,0.031350263074747975,-0.013547394818159253,0.022413285609748534,-0.05861562496262873,0.07835084787739977,-0.05861562496262873
2007-01-10,1414.8499755859375,1414.8499755859375,1415.989990234375,1405.3199462890625,1408.699951171875,2764660000,,,,,,,0.025684677843856196,-0.013547394818159253,0.021034039141358596,-0.05861562496262873,0.07792345612780727,-0.05861562496262873
2007-01-11,1423.8199462890625,1423.8199462890625,1427.1199951171875,1414.8399658203125,1414.8399658203125,2857870000,,,,,,,0.017944718989726605,-0.013547394818159253,0.017256443431216573,-0.05861562496262873,0.0704443346853929,-0.05861562496262873
2007-01-12,1430.72998046875,1430.72998046875,1431.22998046875,1422.5799560546875,1423.8199462890625,2686480000,,,,,,,-0.022149491405686117,-0.041543360474285196,0.005689413627699702,-0.05861562496262873,0.06398834865970349,-0.05861562496262873
2007-01-16,1431.9000244140625,1431.9000244140625,1433.9300537109375,1428.6199951171875,1430.72998046875,2599530000,,,,,,,-0.01751524386995018,-0.041543360474285196,0.011104144243987202,-0.05861562496262873,0.05280395562707141,-0.05861562496262873
2007-01-17,1430.6199951171875,1430.6199951171875,1435.27001953125,1428.5699462890625,1431.77001953125,2690270000,,,,,,,-0.01918745108104436,-0.041543360474285196,0.015538703879871996,-0.05861562496262873,0.05949167888191775,-0.05861562496262873
2007-01-18,1426.3699951171875,1426.3699951171875,1432.9599609375,1424.2099609375,1430.5899658203125,2822430000,,,,,,,-0.02748231616345409,-0.04967527615471845,0.029417304823530444,-0.05861562496262873,0.06431710604431062,-0.05861562496262873
2007-01-19,1430.5,1430.5,1431.5699462890625,1425.18994140625,1426.3499755859375,2777480000,,,,,,,-0.0394127961431755,-0.05861562496262873,0.028647312456308915,-0.05861562496262873,0.0697168685555749,-0.05861562496262873
2007-01-22,1422.949951171875,1422.949951171875,1431.3900146484375,1420.4000244140625,1430.469970703125,2540120000,,,,,,,-0.019354100943260066,-0.05861562496262873,0.034822060176689984,-0.05861562496262873,0.07566678213568956,-0.05861562496262873
2007-01-23,1427.989990234375,1427.989990234375,1431.3299560546875,1421.6600341796875,1422.949951171875,2975070000,,,,,,,-0.025224280126318055,-0.05861562496262873,0.029930174949867938,-0.05861562496262873,0.07587586490585552,-0.05861562496262873
2007-01-24,1440.1300048828125,1440.1300048828125,1440.1400146484375,1427.9599609375,1427.9599609375,2783180000,,,,,,,-0.02655315152432136,-0.05861562496262873,0.03070554085616961,-0.05861562496262873,0.06877854672306816,-0.05861562496262873
2007-01-25,1423.9000244140625,1423.9000244140625,1440.68994140625,1422.3399658203125,1440.1199951171875,2994330000,,,,,,,-0.014790405388479644,-0.05861562496262873,0.04005198983007463,-0.05861562496262873,0.07518078862444266,-0.05861562496262873
2007-01-26,1422.1800537109375,1422.1800537109375,1427.27001953125,1416.9599609375,1423.9000244140625,2626620000,,,,,,,-0.01095506724647588,-0.05861562496262873,0.040944169000829866,-0.05861562496262873,0.06693945040465654,-0.05861562496262873
2007-01-29,1420.6199951171875,1420.6199951171875,1426.93994140625,1418.4599609375,1422.030029296875,2730480000,,,,,,,-0.03003621242272647,-0.05861562496262873,0.05265310152272962,-0.05861562496262873,0.04934463531900013,-0.05861562496262873
2007-01-30,1428.8199462890625,1428.8199462890625,1428.8199462890625,1420.6099853515625,1420.6099853515625,2706250000,,,,,,,-0.02914986066083647,-0.05861562496262873,0.04579307132495791,-0.05861562496262873,0.055185468162759044,-0.05861562496262873
2007-01-31,1438.239990234375,1438.239990234375,1441.6099853515625,1424.780029296875,1428.6500244140625,2976690000,1424.160986328125,,,,,,-0.031955696719300875,-0.05861562496262873,0.038818247603857436,-0.05861562496262873,0.04928246006513981,-0.05861562496262873
